par,modalidad,archivo,bytes,md5,excluido,origen_tno
APC_1_view_1_fk_06_005,VIS,APC_1_view_1_fk_06_005.bmp,269748,c6f66cd4287413263420156c40fb8d1e,no,Athena_images/APC_1/view_1/VIS_fk_06_005.bmp
APC_1_view_2_fk_ref_01_005,VIS,APC_1_view_2_fk_ref_01_005.bmp,266236,c2d5f92c6f942b737d3f0665dd2cf776,no,Athena_images/APC_1/view_2/VIS_fk_ref_01_005.bmp
APC_1_view_3_fk_ref_02_005,VIS,APC_1_view_3_fk_ref_02_005.bmp,275200,80de3ff5635ea2ec3465919becc26094,no,Athena_images/APC_1/view_3/VIS_fk_ref_02_005.bmp
APC_3_view_1_fk_bar_06_005,VIS,APC_3_view_1_fk_bar_06_005.bmp,268680,8bb3ac30669091272e023fd5315ccc08,no,Athena_images/APC_3/view_1/VIS_fk_bar_06_005.bmp
APC_3_view_2_fk_NL_01_005,VIS,APC_3_view_2_fk_NL_01_005.bmp,278328,1ef47e20d880d1d147530ce9fcab361b,no,Athena_images/APC_3/view_2/VIS_fk_NL_01_005.bmp
APC_3_view_3_fk_NL_05_005,VIS,APC_3_view_3_fk_NL_05_005.bmp,281376,2758dcd471c0026b25b65284a1eb1300,no,Athena_images/APC_3/view_3/VIS_fk_NL_05_005.bmp
Athena_2_men_in_front_of_house_meting003,VIS,Athena_2_men_in_front_of_house_meting003.bmp,443446,16d5ff483fa260ff37b0ae6978a37868,no,Athena_images/2_men_in_front_of_house/VIS_meting003_r.bmp
Athena_APC_4_fennek01_005,VIS,Athena_APC_4_fennek01_005.bmp,415432,d8d06f2c163f37d1c4a47bc71bf93e35,no,Athena_images/APC_4/VIS_fennek01_005.bmp
Athena_heather_hei_vis,VIS,Athena_heather_hei_vis.bmp,443448,5c030d8b8e6c91d8409b82d026489985,no,Athena_images/heather/VIS_hei_vis_r.bmp
Athena_heather_IR_hei_vis_g,VIS,Athena_heather_IR_hei_vis_g.bmp,443448,056b42a579c2ddbc28d325f5ca909bb0,si,Athena_images/heather/IR_hei_vis_g.bmp
Athena_helicopter_helib_011,VIS,Athena_helicopter_helib_011.bmp,90000,31b5fec65342367b9adfbf70e8d39b65,no,Athena_images/helicopter/VIS_helib_011.bmp
Athena_lake_lake,VIS,Athena_lake_lake.bmp,443448,4ddd3a92233da5f65aede96eda0d0732,no,Athena_images/lake/VIS_lake_r.bmp
Athena_man_in_doorway_maninhuis,VIS,Athena_man_in_doorway_maninhuis.bmp,443446,1a3959bdad742fb3b3abee82d7ece619,no,Athena_images/man_in_doorway/VIS_maninhuis_r.bmp
Athena_soldier_behind_smoke_1_meting012-1200,VIS,Athena_soldier_behind_smoke_1_meting012-1200.bmp,443446,e7315ee28fcb2041265e9c66243d0f21,no,Athena_images/soldier_behind_smoke_1/VIS_meting012-1200_r.bmp
Athena_soldier_behind_smoke_2_meting012-1500,VIS,Athena_soldier_behind_smoke_2_meting012-1500.bmp,443446,fe26bda5a8cd2c5951ca2b857bb5aa4d,no,Athena_images/soldier_behind_smoke_2/VIS_meting012-1500_r.bmp
Athena_soldier_behind_smoke_3_meting012-1700,VIS,Athena_soldier_behind_smoke_3_meting012-1700.bmp,443446,5f19b435c4983a8feab5b46577eeb5bb,no,Athena_images/soldier_behind_smoke_3/VIS_meting012-1700_r.bmp
Athena_soldier_in_trench_1_meting016,VIS,Athena_soldier_in_trench_1_meting016.bmp,443446,cd1d004a0d37d21301070086f2e1b19b,no,Athena_images/soldier_in_trench_1/VIS_meting016_r.bmp
Athena_soldier_in_trench_2_meting055,VIS,Athena_soldier_in_trench_2_meting055.bmp,443446,00e94458949e41064d5efc85eba98685,no,Athena_images/soldier_in_trench_2/VIS_meting055_r.bmp
Triclobs_Bosnia_R,VIS,Triclobs_Bosnia_R.bmp,308272,299be99da6eb8e283c7a63e95436ab22,no,Triclobs_images/Bosnia/VIS_R.bmp
Triclobs_jeep_in_smoke_R,VIS,Triclobs_jeep_in_smoke_R.bmp,308280,f3a23a8c7470868af134c32aa347ff94,no,Triclobs_images/jeep_in_smoke/VIS_R.bmp
Triclobs_Kaptein_1123,VIS,Triclobs_Kaptein_1123.bmp,280078,7fb0659264be5bd96510bfa3308f2b7c,no,"Triclobs_images/Kaptein_1123/Kaptein_1123_Vis.bmp (md5 origen 4f5c44b36cad60bd4c5748e5e639c4c8; reguardado en escala de grises de 8 bits con cv2.imwrite, por eso el md5 difiere del original)"
APC_1_view_1_fk_06_005,IR,APC_1_view_1_fk_06_005.bmp,269748,09e4d843b33faa0d70926e2c6a5f157e,no,Athena_images/APC_1/view_1/IR_fk_06_005.bmp
APC_1_view_2_fk_ref_01_005,IR,APC_1_view_2_fk_ref_01_005.bmp,266236,51aa835c07a012e28807831e5539eb95,no,Athena_images/APC_1/view_2/IR_fk_ref_01_005.bmp
APC_1_view_3_fk_ref_02_005,IR,APC_1_view_3_fk_ref_02_005.bmp,275200,395177c6c427ecb73749192d85773329,no,Athena_images/APC_1/view_3/IR_fk_ref_02_005.bmp
APC_3_view_1_fk_bar_06_005,IR,APC_3_view_1_fk_bar_06_005.bmp,268680,6f1a71f5e9490f1f29d88a458d425223,no,Athena_images/APC_3/view_1/IR_fk_bar_06_005.bmp
APC_3_view_2_fk_NL_01_005,IR,APC_3_view_2_fk_NL_01_005.bmp,278328,9649734a4335d4b118aa537a9556784b,no,Athena_images/APC_3/view_2/IR_fk_NL_01_005.bmp
APC_3_view_3_fk_NL_05_005,IR,APC_3_view_3_fk_NL_05_005.bmp,281376,bcc38981af54a08fe444a0c4950ff521,no,Athena_images/APC_3/view_3/IR_fk_NL_05_005.bmp
Athena_2_men_in_front_of_house_meting003,IR,Athena_2_men_in_front_of_house_meting003.bmp,443446,aac495b0b3cdb76acaaabdfd05b19ebb,no,Athena_images/2_men_in_front_of_house/IR_meting003_g.bmp
Athena_APC_4_fennek01_005,IR,Athena_APC_4_fennek01_005.bmp,415432,950996a6730912cf611bbea22a2853e6,no,Athena_images/APC_4/IR_fennek01_005.bmp
Athena_heather_hei_vis,IR,Athena_heather_hei_vis.bmp,443448,056b42a579c2ddbc28d325f5ca909bb0,no,Athena_images/heather/IR_hei_vis_g.bmp
Athena_heather_IR_hei_vis_g,IR,Athena_heather_IR_hei_vis_g.bmp,443448,056b42a579c2ddbc28d325f5ca909bb0,si,Athena_images/heather/IR_hei_vis_g.bmp
Athena_helicopter_helib_011,IR,Athena_helicopter_helib_011.bmp,90000,c31e37d06d1fb5434c5a426cb349ba84,no,Athena_images/helicopter/IR_helib_011.bmp
Athena_lake_lake,IR,Athena_lake_lake.bmp,443448,7b991e93336c0a77d81dbde1558a4519,no,Athena_images/lake/IR_lake_g.bmp
Athena_man_in_doorway_maninhuis,IR,Athena_man_in_doorway_maninhuis.bmp,443446,578e6029f883ef16b17e023a92d2b5db,no,Athena_images/man_in_doorway/IR_maninhuis_g.bmp
Athena_soldier_behind_smoke_1_meting012-1200,IR,Athena_soldier_behind_smoke_1_meting012-1200.bmp,443446,c0de394a4c48b5b3bce5c82b7dc61724,no,Athena_images/soldier_behind_smoke_1/IR_meting012-1200_g.bmp
Athena_soldier_behind_smoke_2_meting012-1500,IR,Athena_soldier_behind_smoke_2_meting012-1500.bmp,443446,bb88d7cf6a0a3990aeb4f2a0e7b33dee,no,Athena_images/soldier_behind_smoke_2/IR_meting012-1500_g.bmp
Athena_soldier_behind_smoke_3_meting012-1700,IR,Athena_soldier_behind_smoke_3_meting012-1700.bmp,443446,b8ef747c5a43ef3683451609b4834c26,no,Athena_images/soldier_behind_smoke_3/IR_meting012-1700_g.bmp
Athena_soldier_in_trench_1_meting016,IR,Athena_soldier_in_trench_1_meting016.bmp,443446,fffeabe7b6b55dee3e8a93b92925a7b4,no,Athena_images/soldier_in_trench_1/IR_meting016_g.bmp
Athena_soldier_in_trench_2_meting055,IR,Athena_soldier_in_trench_2_meting055.bmp,443446,b5f352f7164f5c0c8fd4d5452f866385,no,Athena_images/soldier_in_trench_2/IR_meting055_g.bmp
Triclobs_Bosnia_R,IR,Triclobs_Bosnia_R.bmp,308280,3e0fee380cf8cbc9e276b7a4d7b67c3a,no,Triclobs_images/Bosnia/LWIR_B.bmp
Triclobs_jeep_in_smoke_R,IR,Triclobs_jeep_in_smoke_R.bmp,308280,3f1d9fc33f9414ab040963bb58e9c6f9,no,Triclobs_images/jeep_in_smoke/LWIR_B.bmp
Triclobs_Kaptein_1123,IR,Triclobs_Kaptein_1123.bmp,280078,dde5a0095003474e06625a72626abc1a,no,"Triclobs_images/Kaptein_1123/Kaptein_1123_IR.bmp (md5 origen ed85d980405d722e0c5b3e6ed9c5e525; reguardado en escala de grises de 8 bits con cv2.imwrite, por eso el md5 difiere del original)"
