metrica,brazo,dif_propuesta_menos_brazo,p,p_holm,sig,propuesta_mejor
EN,base,0.495731,1.9073486328125e-06,9.5367431640625e-06,True,True
EN,disco,0.193851,1.9073486328125e-06,9.5367431640625e-06,True,True
EN,lineas,0.260269,1.9073486328125e-06,9.5367431640625e-06,True,True
EN,promedio,0.229821,1.9073486328125e-06,9.5367431640625e-06,True,True
EN,maximo,0.192427,1.9073486328125e-06,9.5367431640625e-06,True,True
SD,base,0.038415,1.9073486328125e-06,9.5367431640625e-06,True,True
SD,disco,0.016938,1.9073486328125e-06,9.5367431640625e-06,True,True
SD,lineas,0.023131,1.9073486328125e-06,9.5367431640625e-06,True,True
SD,promedio,0.020188,1.9073486328125e-06,9.5367431640625e-06,True,True
SD,maximo,0.016873,1.9073486328125e-06,9.5367431640625e-06,True,True
FE,base,0.079009,1.9073486328125e-06,9.5367431640625e-06,True,True
FE,disco,0.031114,1.9073486328125e-06,9.5367431640625e-06,True,True
FE,lineas,0.041392,1.9073486328125e-06,9.5367431640625e-06,True,True
FE,promedio,0.036704,1.9073486328125e-06,9.5367431640625e-06,True,True
FE,maximo,0.030869,1.9073486328125e-06,9.5367431640625e-06,True,True
MG,base,0.021168,1.9073486328125e-06,9.5367431640625e-06,True,True
MG,disco,0.009814,1.9073486328125e-06,9.5367431640625e-06,True,True
MG,lineas,0.011068,1.9073486328125e-06,9.5367431640625e-06,True,True
MG,promedio,0.010461,1.9073486328125e-06,9.5367431640625e-06,True,True
MG,maximo,0.00982,1.9073486328125e-06,9.5367431640625e-06,True,True
MI_vis,base,-0.415018,1.9073486328125e-06,9.5367431640625e-06,True,False
MI_vis,disco,-0.168021,1.9073486328125e-06,9.5367431640625e-06,True,False
MI_vis,lineas,-0.195169,1.9073486328125e-06,9.5367431640625e-06,True,False
MI_vis,promedio,-0.186836,1.9073486328125e-06,9.5367431640625e-06,True,False
MI_vis,maximo,-0.166555,1.9073486328125e-06,9.5367431640625e-06,True,False
MI_ir,base,-0.253448,1.9073486328125e-06,9.5367431640625e-06,True,False
MI_ir,disco,-0.076818,1.9073486328125e-06,9.5367431640625e-06,True,False
MI_ir,lineas,-0.113027,1.9073486328125e-06,9.5367431640625e-06,True,False
MI_ir,promedio,-0.098646,1.9073486328125e-06,9.5367431640625e-06,True,False
MI_ir,maximo,-0.076072,1.9073486328125e-06,9.5367431640625e-06,True,False
SF,base,10.352786,1.9073486328125e-06,9.5367431640625e-06,True,True
SF,disco,4.487005,1.9073486328125e-06,9.5367431640625e-06,True,True
SF,lineas,5.227875,1.9073486328125e-06,9.5367431640625e-06,True,True
SF,promedio,4.86357,1.9073486328125e-06,9.5367431640625e-06,True,True
SF,maximo,4.486238,1.9073486328125e-06,9.5367431640625e-06,True,True
SSIM,base,-0.1222,1.9073486328125e-06,9.5367431640625e-06,True,False
SSIM,disco,-0.0766,1.9073486328125e-06,9.5367431640625e-06,True,False
SSIM,lineas,-0.085777,1.9073486328125e-06,9.5367431640625e-06,True,False
SSIM,promedio,-0.082229,1.9073486328125e-06,9.5367431640625e-06,True,False
SSIM,maximo,-0.076553,1.9073486328125e-06,9.5367431640625e-06,True,False
PSNR,base,-0.992268,1.9073486328125e-06,9.5367431640625e-06,True,False
PSNR,disco,-0.594175,1.9073486328125e-06,9.5367431640625e-06,True,False
PSNR,lineas,-0.745415,1.9073486328125e-06,9.5367431640625e-06,True,False
PSNR,promedio,-0.682839,1.9073486328125e-06,9.5367431640625e-06,True,False
PSNR,maximo,-0.593311,1.9073486328125e-06,9.5367431640625e-06,True,False
Qabf,base,0.154449,1.9073486328125e-06,9.5367431640625e-06,True,True
Qabf,disco,-0.044625,1.9073486328125e-06,9.5367431640625e-06,True,False
Qabf,lineas,-0.028403,1.9073486328125e-06,9.5367431640625e-06,True,False
Qabf,promedio,-0.041683,1.9073486328125e-06,9.5367431640625e-06,True,False
Qabf,maximo,-0.04464,1.9073486328125e-06,9.5367431640625e-06,True,False
Nabf,base,0.374225,1.9073486328125e-06,9.5367431640625e-06,True,False
Nabf,disco,0.189137,1.9073486328125e-06,9.5367431640625e-06,True,False
