metodo,valor,rango_interno_9,elegida,por_defecto
PiramideLaplace,6,2.561,True,False
PiramideLaplace,5,2.889,False,False
PiramideLaplace,4,3.267,False,True
PiramideLaplace,3,3.561,False,False
PiramideLaplace,2,4.006,False,False
PiramideLaplace,1,4.717,False,False
RatioPiramide,6,2.911,True,False
RatioPiramide,5,3.206,False,False
RatioPiramide,4,3.389,False,True
RatioPiramide,3,3.678,False,False
RatioPiramide,2,3.856,False,False
RatioPiramide,1,3.961,False,False
DWT,5,2.783,True,False
DWT,4,2.9,False,False
DWT,3,2.994,False,True
DWT,2,3.1,False,False
DWT,1,3.222,False,False
DTCWT,6,3.189,True,False
DTCWT,5,3.283,False,False
DTCWT,4,3.444,False,True
DTCWT,3,3.572,False,False
DTCWT,2,3.717,False,False
DTCWT,1,3.794,False,False
Curvelet,5,2.733,True,False
Curvelet,4,2.922,False,False
Curvelet,3,3.011,False,True
Curvelet,2,3.111,False,False
Curvelet,1,3.222,False,False
TopHat_Clasico,25,5.211,True,False
TopHat_Clasico,23,5.261,False,False
TopHat_Clasico,21,5.394,False,False
TopHat_Clasico,19,5.517,False,False
TopHat_Clasico,15,5.628,False,False
TopHat_Clasico,11,5.956,False,False
TopHat_Clasico,9,6.322,False,False
TopHat_Clasico,7,6.6,False,False
TopHat_Clasico,1,6.644,False,False
TopHat_Clasico,5,6.711,False,True
TopHat_Clasico,3,6.756,False,False
Propuesta_Novedosa,25,4.867,True,True
Propuesta_Novedosa,23,5.133,False,False
Propuesta_Novedosa,21,5.517,False,False
Propuesta_Novedosa,19,5.767,False,False
Propuesta_Novedosa,15,6.006,False,False
Propuesta_Novedosa,11,6.183,False,False
Propuesta_Novedosa,9,6.333,False,False
Propuesta_Novedosa,7,6.439,False,False
Propuesta_Novedosa,5,6.544,False,False
Propuesta_Novedosa,1,6.589,False,False
Propuesta_Novedosa,3,6.622,False,False
