method,image,EN,SD,FE,MG,MI_vis,MI_ir,SF,Qabf,Nabf,SSIM,SCD,VIF
Promedio,APC_1_view_1_fk_06_005,6.37526,0.08649,1.184586,0.013925,1.257231,1.015627,7.83704,0.305505,1e-06,0.797123,1.407129,0.292249
PiramideLaplace,APC_1_view_1_fk_06_005,6.596257,0.105434,1.225649,0.024039,1.370621,1.104134,13.841903,0.401221,0.120696,0.721575,1.296224,0.380005
Curvelet,APC_1_view_1_fk_06_005,6.521921,0.096554,1.211837,0.025027,0.873853,0.837243,14.823894,0.418425,0.21281,0.732265,1.448735,0.270432
TopHat_disk_L3,APC_1_view_1_fk_06_005,6.508534,0.097997,1.209349,0.022051,0.957913,0.969628,12.908165,0.428912,0.103729,0.746887,1.484526,0.309368
TopHat_square_L3,APC_1_view_1_fk_06_005,6.526732,0.098976,1.212731,0.022044,0.946162,0.973437,12.872062,0.41259,0.104688,0.74358,1.495574,0.309551
TopHat_cross_L3,APC_1_view_1_fk_06_005,6.504313,0.097911,1.208565,0.021993,0.967218,0.973119,12.905301,0.440853,0.118489,0.751427,1.488141,0.303253
TopHat_disk_L5,APC_1_view_1_fk_06_005,6.564228,0.101248,1.219698,0.022471,0.917225,0.986589,12.974573,0.424618,0.119857,0.741569,1.523522,0.31035
TopHat_disk_L3_BTH,APC_1_view_1_fk_06_005,6.835516,0.117531,1.270106,0.041363,0.528909,0.650683,21.938814,0.312164,0.523724,0.581237,1.363248,0.289282
TopHat_square_L3_BTH,APC_1_view_1_fk_06_005,6.865086,0.119859,1.2756,0.040876,0.508903,0.659207,21.482172,0.318441,0.519659,0.58006,1.354657,0.294442
TopHat_cross_L3_BTH,APC_1_view_1_fk_06_005,6.855902,0.119135,1.273894,0.042334,0.546338,0.644904,22.154699,0.289483,0.541951,0.569562,1.353721,0.274096
TopHat_disk_L5_BTH,APC_1_view_1_fk_06_005,6.986971,0.129442,1.298248,0.044374,0.447657,0.688462,22.977531,0.287889,0.560065,0.541858,1.27734,0.276487
Promedio,APC_1_view_2_fk_ref_01_005,6.592608,0.104866,1.08174,0.013862,1.642532,0.888547,7.393733,0.36829,0.0,0.844238,1.059078,0.357021
PiramideLaplace,APC_1_view_2_fk_ref_01_005,7.010952,0.138236,1.150384,0.023266,2.319929,0.993161,13.736828,0.486623,0.123933,0.779197,1.2992,0.445784
Curvelet,APC_1_view_2_fk_ref_01_005,6.71961,0.111687,1.102579,0.023648,1.472549,0.805541,13.857162,0.461209,0.198527,0.786094,1.148596,0.327572
TopHat_disk_L3,APC_1_view_2_fk_ref_01_005,6.756841,0.117958,1.108688,0.022226,1.500516,0.876332,13.26073,0.49153,0.126775,0.794775,1.278504,0.373946
TopHat_square_L3,APC_1_view_2_fk_ref_01_005,6.77193,0.118959,1.111164,0.022242,1.487306,0.877554,13.237517,0.4729,0.128342,0.791242,1.291392,0.371686
TopHat_cross_L3,APC_1_view_2_fk_ref_01_005,6.739681,0.116656,1.105872,0.021776,1.466637,0.89733,13.127949,0.489841,0.134587,0.799566,1.271449,0.36438
TopHat_disk_L5,APC_1_view_2_fk_ref_01_005,6.815261,0.12181,1.118274,0.022695,1.445609,0.892582,13.364326,0.486436,0.145875,0.788396,1.336311,0.375229
TopHat_disk_L3_BTH,APC_1_view_2_fk_ref_01_005,6.98175,0.130341,1.145592,0.041684,0.95317,0.652712,21.862417,0.325404,0.55786,0.616431,1.036894,0.347613
TopHat_square_L3_BTH,APC_1_view_2_fk_ref_01_005,7.003053,0.131982,1.149087,0.04145,0.917037,0.655439,21.507769,0.327091,0.554857,0.613773,1.018376,0.35092
TopHat_cross_L3_BTH,APC_1_view_2_fk_ref_01_005,6.988845,0.131078,1.146756,0.041444,0.943009,0.665947,21.74622,0.311015,0.555777,0.613191,1.0456,0.331709
TopHat_disk_L5_BTH,APC_1_view_2_fk_ref_01_005,7.115578,0.143042,1.167551,0.04437,0.809992,0.670552,22.582642,0.293777,0.593585,0.57235,0.968877,0.334076
