escena,Curvelet,DTCWT,DWT,IR,PiramideLaplace,Propuesta_Novedosa,RatioPiramide,TopHat_Clasico,VIS
00063,0,0,0,0,0,0,0,0,0
00064,0,0,0,0,0,0,0,0,0
00071,0,0,0,0,0,0,0,0,0
00073,0,0,0,0,0,0,0,0,0
00078,0,0,0,0,0,0,0,0,0
00217,0,0,0,0,0,0,0,0,0
00419,0,0,0,0,0,0,0,0,0
00422,0,0,0,0,0,0,0,0,0
00427,0,0,0,0,0,0,0,0,0
00428,0,0,0,0,0,0,0,0,0
00470,1,1,1,0,1,0,1,1,0
00476,1,1,1,0,1,0,1,1,0
00486,0,0,0,0,0,0,0,0,0
00489,1,1,1,0,1,1,1,0,0
00493,0,0,0,0,0,0,0,0,0
00503,0,0,0,0,0,0,0,0,0
01199,0,0,0,0,0,0,0,0,0
01206,0,0,0,0,0,0,0,0,0
01207,0,0,0,0,0,0,0,0,0
01213,0,0,0,0,1,0,1,0,0
01216,0,0,0,0,0,0,0,0,0
01218,0,1,0,0,0,0,0,0,0
01221,0,0,0,0,0,0,0,0,0
01222,0,0,0,0,0,0,0,0,0
01226,0,0,0,0,0,0,0,0,0
01228,0,0,0,0,0,0,0,0,0
01266,0,0,0,0,0,0,0,1,0
01285,1,1,1,0,1,1,1,0,0
01291,0,0,0,0,0,0,0,0,0
01299,0,0,0,0,0,0,0,0,0
02140,0,0,0,0,0,0,0,0,0
02200,0,0,0,0,0,0,0,0,0
02217,0,0,0,0,0,0,0,0,0
02218,0,0,0,0,0,0,0,0,0
02226,0,0,0,0,1,0,0,0,0
02292,0,0,0,0,0,0,0,0,0
02293,0,0,0,0,0,0,0,0,0
02295,0,0,0,0,0,0,0,0,0
02297,0,0,0,0,0,0,0,0,0
02298,0,0,0,0,0,0,0,0,0
02299,0,0,0,0,0,0,0,0,0
02328,0,0,0,0,0,0,0,0,0
02332,0,0,0,0,0,0,0,0,0
02335,0,0,0,0,0,0,0,0,0
02337,0,0,0,0,0,0,0,0,0
02453,0,0,0,0,0,0,0,0,0
02456,0,0,0,0,0,0,0,0,0
02457,0,0,0,0,0,0,0,0,0
02465,0,0,0,0,0,0,0,0,0
02467,0,0,0,0,0,0,0,0,0
02468,0,0,0,0,0,0,0,0,0
02489,0,0,0,0,0,0,0,0,0
02490,0,0,0,0,0,0,0,0,0
02491,0,0,0,0,0,0,0,0,0
02602,0,0,0,0,0,0,0,0,0
02606,0,0,0,0,0,0,0,0,0
02607,0,0,0,0,0,0,0,0,0
02717,0,0,0,0,0,0,0,0,0
02720,0,0,0,0,0,0,0,0,0
02721,0,0,0,0,0,0,0,0,0
02727,0,0,0,0,0,0,0,0,0
02732,0,0,0,0,0,0,0,0,0
02735,0,0,0,0,0,0,0,0,0
02736,0,0,0,0,0,0,0,0,0
02738,0,0,0,0,0,0,0,0,0
02940,0,0,0,0,0,0,0,0,0
02942,0,0,0,0,0,0,0,0,0
02949,0,0,0,0,0,0,0,0,0
02950,0,0,0,0,0,0,0,0,0
02951,0,0,0,0,0,0,0,0,0
02953,0,0,0,0,0,0,0,0,0
02957,0,0,0,0,0,0,0,0,0
03052,0,0,0,0,0,0,0,0,0
03053,0,0,0,0,0,0,0,0,0
03054,0,0,0,0,0,0,0,0,0
03057,0,0,0,0,0,0,0,0,0
03059,0,0,0,0,0,0,0,0,0
03060,0,0,0,0,0,0,0,0,0
03061,1,1,1,0,1,0,0,0,0
03066,0,0,0,0,0,0,0,0,0
03347,0,0,0,0,0,0,0,0,0
03349,0,0,0,0,0,0,0,0,0
03350,0,0,0,0,0,0,0,0,0
03566,0,0,0,0,0,0,0,0,0
03681,0,0,0,0,0,0,0,0,0
03682,0,0,0,0,0,0,0,0,0
03683,0,0,0,0,0,0,0,0,0
03687,0,0,0,0,0,0,0,0,0
03688,0,0,0,0,0,0,0,0,0
03689,0,0,0,0,0,0,0,0,0
