escena,clase,objeto,VIS,IR,PiramideLaplace,RatioPiramide,DWT,DTCWT,Curvelet,TopHat_Clasico,Propuesta_Novedosa
00063,People,0,0,1,1,1,1,1,1,1,0
00063,People,1,1,1,1,1,1,1,1,1,1
00063,People,2,1,1,1,1,1,1,1,1,1
00063,People,3,1,1,1,1,1,1,1,1,1
00063,People,4,0,1,0,0,0,0,0,0,0
00063,Lamp,0,0,0,0,0,0,0,0,0,0
00064,People,0,0,0,0,0,0,0,0,0,0
00064,People,1,0,1,0,0,0,0,0,0,0
00064,People,2,0,0,0,0,0,0,0,0,0
00064,People,3,1,1,1,1,1,1,1,1,1
00064,People,4,1,1,1,1,1,1,1,1,1
00064,People,5,1,1,1,1,1,1,1,1,1
00064,Lamp,0,0,0,0,0,0,0,0,0,0
00071,People,0,0,1,0,1,0,0,0,0,0
00071,People,1,0,1,1,1,0,0,0,0,0
00071,Lamp,0,0,0,0,0,0,0,0,0,0
00073,People,0,0,1,0,0,0,0,0,0,0
00073,People,1,0,1,1,1,0,0,0,0,0
00073,Lamp,0,0,0,0,0,0,0,0,0,0
00078,People,0,0,0,0,0,0,0,0,0,0
00078,People,1,1,1,1,1,1,1,1,1,1
00078,People,2,1,1,1,1,1,1,1,1,1
00078,People,3,1,1,1,1,1,1,1,1,1
00078,People,4,0,1,0,1,0,0,0,0,0
00078,People,5,0,1,0,0,0,0,0,0,0
00078,Lamp,0,0,0,0,0,0,0,0,0,0
00111,People,0,1,1,1,1,1,1,1,1,1
00111,People,1,1,1,1,1,1,1,1,1,1
00111,People,2,1,1,1,1,1,1,1,1,1
00111,People,3,1,1,1,1,1,1,1,1,1
00111,People,4,1,1,1,1,1,1,0,0,0
00111,People,5,1,1,1,1,1,1,1,1,1
00111,People,6,1,1,1,1,1,1,1,1,1
00111,Lamp,0,1,1,1,1,1,1,1,1,1
00111,Lamp,1,1,1,1,1,1,1,1,1,1
00111,Lamp,2,0,0,0,1,1,0,0,0,0
00111,Lamp,3,0,0,1,0,1,1,1,1,1
00114,People,0,1,1,1,1,1,1,1,1,1
00114,People,1,1,1,1,1,1,1,1,1,1
00114,People,2,1,1,1,1,1,1,1,1,1
00114,People,3,1,1,1,1,1,1,1,1,1
00114,People,4,0,1,1,1,1,1,0,0,0
00114,People,5,1,1,1,1,1,1,0,0,1
00114,People,6,1,1,0,0,0,1,0,0,0
00114,Lamp,0,0,0,0,0,0,0,0,0,0
00114,Lamp,1,1,1,1,1,1,1,1,1,1
00114,Lamp,2,1,1,1,1,1,1,1,1,1
00116,People,0,0,1,1,1,1,1,1,1,1
00116,People,1,1,1,1,1,1,1,1,1,1
00116,People,2,1,1,1,1,1,1,1,1,1
00116,People,3,1,1,1,1,1,1,1,1,1
00116,People,4,1,1,1,1,1,1,1,1,1
00116,People,5,1,1,1,1,1,1,1,1,1
00116,People,6,1,1,1,1,1,1,1,1,1
00116,People,7,0,1,0,0,0,0,0,1,1
00116,Lamp,0,0,0,0,0,0,0,0,0,0
00116,Lamp,1,1,1,1,1,1,1,1,1,1
00116,Lamp,2,1,1,1,1,1,1,1,0,1
00116,Lamp,3,1,1,0,0,1,0,0,1,1
00118,People,0,1,1,1,1,1,1,1,1,1
00118,People,1,1,1,1,1,1,1,1,1,1
00118,People,2,1,1,1,1,1,1,1,0,0
00118,People,3,1,1,1,1,1,1,1,1,1
00118,People,4,1,1,1,1,1,1,1,1,1
00118,People,5,0,0,0,0,0,0,0,0,0
00118,People,6,1,1,1,1,1,1,1,0,1
00118,People,7,1,1,1,1,1,1,1,0,1
00118,Lamp,0,1,1,1,1,1,1,1,1,1
00118,Lamp,1,1,1,1,1,1,1,1,1,1
00118,Lamp,2,1,1,1,1,1,1,1,1,1
00118,Lamp,3,1,0,1,1,1,1,1,1,1
00123,People,0,1,1,1,1,1,1,1,1,1
00123,People,1,0,1,1,1,1,1,1,0,1
00123,People,2,0,1,0,1,0,0,0,0,0
00123,People,3,0,1,0,1,1,1,0,0,0
00123,People,4,1,1,1,1,1,1,1,1,1
00123,People,5,0,1,1,1,1,1,0,0,0
00123,People,6,1,1,1,1,1,1,1,0,1
00123,Lamp,0,1,1,1,1,1,1,1,1,1
00123,Lamp,1,1,1,1,1,1,1,1,0,1
00123,Lamp,2,1,1,1,0,0,0,0,0,0
00123,Lamp,3,1,1,1,0,0,0,0,0,1
00123,Lamp,4,1,0,1,1,1,1,1,1,1
00125,People,0,0,1,0,0,0,0,0,0,0
00125,People,1,1,1,1,1,1,1,1,1,1
00125,People,2,0,1,1,1,1,1,1,0,1
00125,People,3,1,1,1,1,1,1,1,1,1
00125,People,4,0,1,1,1,1,1,1,1,0
00125,People,5,0,1,1,1,1,1,1,1,1
00125,People,6,0,1,0,0,0,0,0,0,0
00125,People,7,0,0,0,0,0,0,0,0,0
00125,Lamp,0,1,1,1,1,1,1,1,1,1
00125,Lamp,1,1,1,1,1,1,1,1,1,1
00125,Lamp,2,1,1,1,1,1,1,1,1,1
00125,Lamp,3,1,1,1,0,1,1,1,1,1
00125,Lamp,4,1,1,1,1,1,1,1,1,1
00126,People,0,0,0,0,0,0,0,0,0,0
00126,People,1,0,1,0,1,1,0,0,0,1
00126,People,2,0,1,1,1,1,1,1,1,1
00126,People,3,0,1,1,1,1,1,0,0,0
00126,People,4,0,1,0,1,1,1,0,0,0
00126,People,5,1,1,1,1,1,1,1,1,1
00126,People,6,0,1,1,1,0,1,0,0,0
00126,People,7,1,1,1,1,1,1,1,1,1
00126,People,8,0,0,0,0,0,0,0,0,0
00126,Lamp,0,1,1,1,1,1,1,1,1,1
00126,Lamp,1,1,1,1,1,1,1,1,1,1
00126,Lamp,2,1,0,1,0,1,1,1,1,1
00126,Lamp,3,1,0,1,1,1,1,1,1,1
00126,Lamp,4,1,0,1,1,1,1,1,0,1
00127,People,0,0,1,0,1,0,1,0,0,0
00127,People,1,0,1,0,0,0,0,0,0,0
00127,People,2,0,1,1,1,0,1,1,0,1
00127,People,3,1,1,1,1,1,1,1,1,1
00127,People,4,0,1,0,1,0,0,0,0,0
00127,People,5,1,1,1,1,1,1,1,1,1
00127,People,6,0,1,1,1,0,0,1,0,0
00127,People,7,0,1,1,1,1,1,1,1,1
00127,People,8,0,0,0,0,0,1,0,1,0
00127,People,9,1,1,1,1,1,1,1,0,1
00127,Lamp,0,1,0,1,1,1,1,1,1,1
00127,Lamp,1,0,0,0,0,0,0,0,0,0
00127,Lamp,2,1,1,1,1,1,1,1,1,1
00127,Lamp,3,1,0,1,1,1,1,1,0,1
00127,Lamp,4,1,0,1,1,1,1,1,0,1
00129,People,0,0,1,0,1,0,0,0,0,0
00129,People,1,1,1,1,1,1,1,1,1,1
00129,People,2,1,1,1,1,1,1,1,1,1
00129,People,3,1,0,0,0,0,0,0,0,0
00129,People,4,0,1,0,0,0,0,0,0,0
00129,People,5,0,1,0,0,0,0,0,0,0
00129,People,6,0,0,0,0,0,0,0,0,0
00129,People,7,0,1,1,1,1,1,1,1,0
00129,Lamp,0,1,0,1,1,1,1,1,0,0
00129,Lamp,1,0,0,0,0,0,0,0,0,0
00129,Lamp,2,1,0,1,1,1,1,1,0,1
00129,Lamp,3,1,1,1,1,1,1,1,1,1
00129,Lamp,4,1,0,1,0,1,0,0,0,0
00130,People,0,0,1,0,1,0,0,0,0,0
00130,People,1,0,1,1,1,1,1,0,0,0
00130,People,2,0,1,0,1,0,0,0,0,0
00130,People,3,0,1,1,1,1,1,1,0,1
00130,People,4,1,1,0,1,0,0,0,0,0
00130,People,5,0,0,0,0,0,0,0,0,0
00130,Lamp,0,1,1,1,1,1,1,1,0,0
00130,Lamp,1,1,0,1,0,0,0,0,0,0
00130,Lamp,2,1,0,1,0,1,1,0,0,1
00130,Lamp,3,0,0,0,0,0,0,0,0,0
00132,People,0,0,1,0,1,0,0,0,0,0
00132,People,1,0,1,1,1,1,1,1,0,0
00132,People,2,0,0,0,0,0,0,0,0,0
00132,People,3,0,1,1,1,1,1,1,0,1
00132,People,4,1,1,1,1,1,1,0,0,1
00132,People,5,1,0,1,0,0,1,1,0,0
00132,Lamp,0,1,1,1,1,1,1,1,1,1
00132,Lamp,1,0,0,0,0,0,0,0,0,0
00132,Lamp,2,0,0,0,0,0,0,0,0,0
00132,Lamp,3,1,0,1,0,0,0,0,0,0
00135,People,0,0,0,0,0,0,0,0,0,0
00135,People,1,0,0,0,0,0,0,0,0,0
00135,People,2,0,1,0,1,0,1,0,0,0
00135,People,3,0,1,1,1,1,1,1,1,1
00135,People,4,0,0,0,0,0,0,0,0,0
00135,People,5,0,0,0,0,0,0,0,0,0
00135,People,6,0,0,0,0,0,0,0,0,0
00135,People,7,0,0,0,0,0,0,0,0,0
00135,People,8,0,1,1,1,1,1,1,0,1
00135,People,9,1,1,1,0,1,1,1,0,1
00135,People,10,0,0,0,1,0,0,0,0,0
00135,Lamp,0,0,0,0,0,0,0,0,0,0
00135,Lamp,1,1,1,1,0,1,1,1,1,1
00135,Lamp,2,0,0,0,0,0,0,0,0,0
00136,People,0,0,0,0,0,0,0,0,0,0
00136,People,1,0,0,0,0,0,0,0,0,0
00136,People,2,0,1,1,1,1,1,1,1,1
00136,People,3,0,0,0,0,0,0,0,0,0
00136,People,4,0,1,1,0,0,1,1,1,0
00136,People,5,0,1,1,1,1,1,1,1,1
00136,People,6,0,1,1,1,1,1,1,0,1
00136,People,7,1,1,0,0,0,0,0,0,0
00136,Lamp,0,1,1,1,1,1,1,1,1,1
00136,Lamp,1,0,0,0,0,0,0,0,0,0
00136,Lamp,2,0,0,0,0,0,0,0,1,1
00138,People,0,0,0,0,0,0,0,0,0,0
00138,People,1,0,0,0,0,0,0,0,0,0
00138,People,2,0,0,0,0,0,0,0,0,0
00138,People,3,0,0,0,0,0,0,0,0,0
00138,People,4,0,0,0,0,0,0,0,0,0
00138,People,5,0,1,0,0,0,0,0,0,0
00138,People,6,0,1,0,0,0,0,0,0,0
00138,People,7,0,1,0,0,0,0,0,0,0
00138,People,8,0,1,1,1,1,1,1,1,1
00138,People,9,0,1,1,1,1,0,0,0,1
00138,People,10,0,0,0,0,0,0,0,0,0
00138,Lamp,0,1,1,1,1,1,1,1,1,1
00138,Lamp,1,0,0,0,0,0,0,0,0,0
00138,Lamp,2,1,0,0,0,1,1,0,0,1
00143,People,0,0,0,0,0,0,0,0,0,0
00143,People,1,0,0,0,0,0,0,0,0,0
00143,People,2,1,1,1,1,1,1,1,1,1
00143,People,3,0,1,0,1,0,0,0,0,0
00143,People,4,0,1,1,1,1,0,0,0,0
00143,People,5,0,0,0,0,0,0,0,0,0
00143,People,6,0,0,0,0,0,0,0,0,0
00143,Lamp,0,0,1,0,0,0,0,0,0,0
00143,Lamp,1,0,0,0,0,0,0,0,0,0
00144,People,0,0,0,0,0,0,0,0,0,0
00144,People,1,0,1,1,1,1,1,1,1,1
00144,People,2,1,1,1,1,1,1,1,1,1
00144,People,3,0,1,0,1,0,0,0,0,0
00144,People,4,0,1,0,1,1,0,0,0,0
00144,People,5,0,0,0,0,0,0,0,0,0
00144,People,6,1,0,0,0,0,0,0,0,0
00144,Lamp,0,1,1,1,0,1,1,1,1,1
00144,Lamp,1,0,0,0,0,0,0,0,0,0
00147,People,0,1,1,1,1,1,1,1,1,1
00147,People,1,0,0,0,0,0,0,0,0,0
00147,People,2,0,1,1,1,1,1,1,1,1
00147,People,3,0,1,1,1,1,1,1,1,0
00147,People,4,0,1,0,0,0,0,0,0,0
00147,People,5,0,0,0,0,0,0,0,0,0
00147,People,6,0,1,1,1,1,1,1,0,0
00147,People,7,0,1,0,0,1,0,0,0,0
00147,People,8,0,1,0,1,0,0,1,0,0
00147,People,9,0,1,1,1,1,1,1,0,0
00147,People,10,0,0,0,0,0,0,0,0,0
