escena,entrada,gt_People,gt_Lamp,tp_People,tp_Lamp,recupera_People,recupera_Lamp,recupera_ambas
00063,VIS,5,1,3,0,1,0,0
00063,IR,5,1,5,0,1,0,0
00063,PiramideLaplace,5,1,4,0,1,0,0
00063,RatioPiramide,5,1,4,0,1,0,0
00063,DWT,5,1,4,0,1,0,0
00063,DTCWT,5,1,4,0,1,0,0
00063,Curvelet,5,1,4,0,1,0,0
00063,TopHat_Clasico,5,1,4,0,1,0,0
00063,Propuesta_Novedosa,5,1,3,0,1,0,0
00064,VIS,6,1,3,0,1,0,0
00064,IR,6,1,4,0,1,0,0
00064,PiramideLaplace,6,1,3,0,1,0,0
00064,RatioPiramide,6,1,3,0,1,0,0
00064,DWT,6,1,3,0,1,0,0
00064,DTCWT,6,1,3,0,1,0,0
00064,Curvelet,6,1,3,0,1,0,0
00064,TopHat_Clasico,6,1,3,0,1,0,0
00064,Propuesta_Novedosa,6,1,3,0,1,0,0
00071,VIS,2,1,0,0,0,0,0
00071,IR,2,1,2,0,1,0,0
00071,PiramideLaplace,2,1,1,0,1,0,0
00071,RatioPiramide,2,1,2,0,1,0,0
00071,DWT,2,1,0,0,0,0,0
00071,DTCWT,2,1,0,0,0,0,0
00071,Curvelet,2,1,0,0,0,0,0
00071,TopHat_Clasico,2,1,0,0,0,0,0
00071,Propuesta_Novedosa,2,1,0,0,0,0,0
00073,VIS,2,1,0,0,0,0,0
00073,IR,2,1,2,0,1,0,0
00073,PiramideLaplace,2,1,1,0,1,0,0
00073,RatioPiramide,2,1,1,0,1,0,0
00073,DWT,2,1,0,0,0,0,0
00073,DTCWT,2,1,0,0,0,0,0
00073,Curvelet,2,1,0,0,0,0,0
00073,TopHat_Clasico,2,1,0,0,0,0,0
00073,Propuesta_Novedosa,2,1,0,0,0,0,0
00078,VIS,6,1,3,0,1,0,0
00078,IR,6,1,5,0,1,0,0
00078,PiramideLaplace,6,1,3,0,1,0,0
00078,RatioPiramide,6,1,4,0,1,0,0
00078,DWT,6,1,3,0,1,0,0
00078,DTCWT,6,1,3,0,1,0,0
00078,Curvelet,6,1,3,0,1,0,0
00078,TopHat_Clasico,6,1,3,0,1,0,0
00078,Propuesta_Novedosa,6,1,3,0,1,0,0
00111,VIS,7,4,7,2,1,1,1
00111,IR,7,4,7,2,1,1,1
00111,PiramideLaplace,7,4,7,3,1,1,1
00111,RatioPiramide,7,4,7,3,1,1,1
00111,DWT,7,4,7,4,1,1,1
00111,DTCWT,7,4,7,3,1,1,1
00111,Curvelet,7,4,6,3,1,1,1
00111,TopHat_Clasico,7,4,6,3,1,1,1
00111,Propuesta_Novedosa,7,4,6,3,1,1,1
00114,VIS,7,3,6,2,1,1,1
00114,IR,7,3,7,2,1,1,1
00114,PiramideLaplace,7,3,6,2,1,1,1
00114,RatioPiramide,7,3,6,2,1,1,1
00114,DWT,7,3,6,2,1,1,1
00114,DTCWT,7,3,7,2,1,1,1
00114,Curvelet,7,3,4,2,1,1,1
00114,TopHat_Clasico,7,3,4,2,1,1,1
00114,Propuesta_Novedosa,7,3,5,2,1,1,1
00116,VIS,8,4,6,3,1,1,1
00116,IR,8,4,8,3,1,1,1
00116,PiramideLaplace,8,4,7,2,1,1,1
00116,RatioPiramide,8,4,7,2,1,1,1
00116,DWT,8,4,7,3,1,1,1
00116,DTCWT,8,4,7,2,1,1,1
00116,Curvelet,8,4,7,2,1,1,1
00116,TopHat_Clasico,8,4,8,2,1,1,1
00116,Propuesta_Novedosa,8,4,8,3,1,1,1
00118,VIS,8,4,7,4,1,1,1
00118,IR,8,4,7,3,1,1,1
00118,PiramideLaplace,8,4,7,4,1,1,1
00118,RatioPiramide,8,4,7,4,1,1,1
00118,DWT,8,4,7,4,1,1,1
00118,DTCWT,8,4,7,4,1,1,1
00118,Curvelet,8,4,7,4,1,1,1
00118,TopHat_Clasico,8,4,4,4,1,1,1
00118,Propuesta_Novedosa,8,4,6,4,1,1,1
00123,VIS,7,5,3,5,1,1,1
00123,IR,7,5,7,4,1,1,1
00123,PiramideLaplace,7,5,5,5,1,1,1
00123,RatioPiramide,7,5,7,3,1,1,1
00123,DWT,7,5,6,3,1,1,1
00123,DTCWT,7,5,6,3,1,1,1
00123,Curvelet,7,5,4,3,1,1,1
00123,TopHat_Clasico,7,5,2,2,1,1,1
00123,Propuesta_Novedosa,7,5,4,4,1,1,1
00125,VIS,8,5,2,5,1,1,1
00125,IR,8,5,7,5,1,1,1
00125,PiramideLaplace,8,5,5,5,1,1,1
00125,RatioPiramide,8,5,5,4,1,1,1
00125,DWT,8,5,5,5,1,1,1
00125,DTCWT,8,5,5,5,1,1,1
00125,Curvelet,8,5,5,5,1,1,1
00125,TopHat_Clasico,8,5,4,5,1,1,1
00125,Propuesta_Novedosa,8,5,4,5,1,1,1
00126,VIS,9,5,2,5,1,1,1
00126,IR,9,5,7,2,1,1,1
00126,PiramideLaplace,9,5,5,5,1,1,1
00126,RatioPiramide,9,5,7,4,1,1,1
00126,DWT,9,5,6,5,1,1,1
00126,DTCWT,9,5,6,5,1,1,1
00126,Curvelet,9,5,3,5,1,1,1
00126,TopHat_Clasico,9,5,3,4,1,1,1
00126,Propuesta_Novedosa,9,5,4,5,1,1,1
00127,VIS,10,5,3,4,1,1,1
00127,IR,10,5,9,1,1,1,1
00127,PiramideLaplace,10,5,6,4,1,1,1
00127,RatioPiramide,10,5,8,4,1,1,1
00127,DWT,10,5,4,4,1,1,1
00127,DTCWT,10,5,7,4,1,1,1
00127,Curvelet,10,5,6,4,1,1,1
00127,TopHat_Clasico,10,5,4,2,1,1,1
00127,Propuesta_Novedosa,10,5,5,4,1,1,1
00129,VIS,8,5,3,4,1,1,1
00129,IR,8,5,6,1,1,1,1
00129,PiramideLaplace,8,5,3,4,1,1,1
00129,RatioPiramide,8,5,4,3,1,1,1
00129,DWT,8,5,3,4,1,1,1
00129,DTCWT,8,5,3,3,1,1,1
00129,Curvelet,8,5,3,3,1,1,1
00129,TopHat_Clasico,8,5,3,1,1,1,1
00129,Propuesta_Novedosa,8,5,2,2,1,1,1
00130,VIS,6,4,1,3,1,1,1
00130,IR,6,4,5,1,1,1,1
00130,PiramideLaplace,6,4,2,3,1,1,1
00130,RatioPiramide,6,4,5,1,1,1,1
00130,DWT,6,4,2,2,1,1,1
00130,DTCWT,6,4,2,2,1,1,1
00130,Curvelet,6,4,1,1,1,1,1
00130,TopHat_Clasico,6,4,0,0,0,0,0
00130,Propuesta_Novedosa,6,4,1,1,1,1,1
00132,VIS,6,4,2,2,1,1,1
00132,IR,6,4,4,1,1,1,1
00132,PiramideLaplace,6,4,4,2,1,1,1
00132,RatioPiramide,6,4,4,1,1,1,1
00132,DWT,6,4,3,1,1,1,1
00132,DTCWT,6,4,4,1,1,1,1
00132,Curvelet,6,4,3,1,1,1,1
00132,TopHat_Clasico,6,4,0,1,0,1,0
00132,Propuesta_Novedosa,6,4,2,1,1,1,1
00135,VIS,11,3,1,1,1,1,1
