method,semilla,mAP50,mAP50_95,precision,recall,checkpoint,entrenada_aqui,segundos
Curvelet,0,0.9403,0.6077,0.9622,0.85,last,False,19.3
Curvelet,1,0.9065,0.5505,0.9315,0.776,last,True,856.0
Curvelet,2,0.9275,0.5775,0.9439,0.8021,last,True,926.1
Curvelet,3,0.922,0.5891,0.9156,0.7789,last,True,1504.0
Curvelet,4,0.9332,0.5672,0.9767,0.8296,last,True,872.4
DTCWT,0,0.9485,0.6033,0.9706,0.8718,last,False,19.8
DTCWT,1,0.9345,0.5795,0.8965,0.8197,last,True,856.2
DTCWT,2,0.944,0.5792,0.9665,0.843,last,True,878.4
DTCWT,3,0.9288,0.6011,0.921,0.7803,last,True,2285.0
DTCWT,4,0.9268,0.5841,0.9434,0.7817,last,True,871.6
DWT,0,0.9394,0.6018,0.9297,0.8176,last,False,18.8
DWT,1,0.8684,0.5405,0.7481,0.8197,last,True,902.3
DWT,2,0.9339,0.5861,0.9607,0.8434,last,True,899.7
DWT,3,0.9296,0.5795,0.9342,0.8105,last,True,890.7
DWT,4,0.9203,0.5683,0.9632,0.8114,last,True,865.4
IR,0,0.9708,0.6211,0.9755,0.9238,last,False,18.2
IR,1,0.9651,0.5831,0.9586,0.9204,last,True,923.6
IR,2,0.9468,0.5562,0.9853,0.8254,last,True,1239.7
IR,3,0.9766,0.6131,0.9623,0.935,last,True,879.3
IR,4,0.9464,0.586,0.9636,0.8176,last,True,1398.2
PiramideLaplace,0,0.9515,0.5648,0.969,0.9025,last,False,18.6
PiramideLaplace,1,0.9412,0.6077,0.97,0.8754,last,True,959.1
PiramideLaplace,2,0.9527,0.589,0.9703,0.869,last,True,1037.7
PiramideLaplace,3,0.9577,0.579,0.9523,0.9099,last,True,955.8
PiramideLaplace,4,0.9556,0.5752,0.9697,0.8894,last,True,1602.0
Propuesta_Novedosa,0,0.9057,0.5813,0.8756,0.7613,last,False,19.0
Propuesta_Novedosa,1,0.9344,0.5805,0.9438,0.8261,last,True,864.3
Propuesta_Novedosa,2,0.9371,0.5973,0.9729,0.8587,last,True,908.3
Propuesta_Novedosa,3,0.9354,0.5567,0.9629,0.8582,last,True,1534.6
Propuesta_Novedosa,4,0.9291,0.5708,0.964,0.838,last,True,865.9
RatioPiramide,0,0.9056,0.5003,0.9243,0.8429,last,False,18.4
RatioPiramide,1,0.9026,0.5055,0.9237,0.8443,last,True,1301.8
RatioPiramide,2,0.9147,0.5106,0.9282,0.838,last,True,1105.2
RatioPiramide,3,0.8995,0.5192,0.9444,0.8204,last,True,925.6
RatioPiramide,4,0.8993,0.5217,0.9055,0.8289,last,True,1372.2
TopHat_Clasico,0,0.9326,0.6093,0.9544,0.8711,last,False,19.2
TopHat_Clasico,1,0.9139,0.5962,0.9318,0.8269,last,True,856.3
TopHat_Clasico,2,0.9365,0.6111,0.9717,0.8549,last,True,1020.0
TopHat_Clasico,3,0.9284,0.5531,0.96,0.8296,last,True,1139.9
TopHat_Clasico,4,0.9057,0.567,0.9309,0.769,last,True,868.7
VIS,0,0.8133,0.4498,0.8509,0.743,last,False,18.5
VIS,1,0.787,0.4285,0.8213,0.7077,last,True,21.8
VIS,2,0.7932,0.4262,0.851,0.6965,last,True,1119.4
VIS,3,0.8,0.4253,0.8229,0.7133,last,True,959.5
VIS,4,0.7818,0.4178,0.8099,0.7079,last,True,957.1
