method,image,n_det,n_person,n_vehicle,conf_mean,conf_max,has_det,ms
VIS,APC_1_view_1_fk_06_005,0,0,0,0.0000,0.0000,0,98.5487
VIS,APC_1_view_2_fk_ref_01_005,2,1,0,0.5212,0.6512,1,31.0240
VIS,APC_1_view_3_fk_ref_02_005,2,0,2,0.4479,0.5667,1,29.5157
VIS,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0.0000,0,32.0206
VIS,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0.0000,0,43.1039
VIS,APC_3_view_3_fk_NL_05_005,1,0,1,0.3132,0.3132,1,30.0057
VIS,Athena_2_men_in_front_of_house_meting003,0,0,0,0.0000,0.0000,0,178.5195
VIS,Athena_APC_4_fennek01_005,1,0,1,0.2516,0.2516,1,187.6924
VIS,Athena_heather_hei_vis,0,0,0,0.0000,0.0000,0,174.1393
VIS,Athena_heather_IR_hei_vis_g,0,0,0,0.0000,0.0000,0,192.9131
VIS,Athena_helicopter_helib_011,0,0,0,0.0000,0.0000,0,202.4460
VIS,Athena_lake_lake,0,0,0,0.0000,0.0000,0,203.3913
VIS,Athena_man_in_doorway_maninhuis,1,0,0,0.2984,0.2984,1,192.0414
VIS,Athena_soldier_behind_smoke_1_meting012-1200,0,0,0,0.0000,0.0000,0,182.6091
VIS,Athena_soldier_behind_smoke_2_meting012-1500,0,0,0,0.0000,0.0000,0,185.0951
VIS,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0.0000,0,190.6908
VIS,Athena_soldier_in_trench_1_meting016,0,0,0,0.0000,0.0000,0,200.2101
VIS,Athena_soldier_in_trench_2_meting055,0,0,0,0.0000,0.0000,0,191.5448
VIS,Triclobs_Bosnia_R,0,0,0,0.0000,0.0000,0,199.4488
VIS,Triclobs_jeep_in_smoke_R,0,0,0,0.0000,0.0000,0,183.5124
IR,APC_1_view_1_fk_06_005,2,1,0,0.2682,0.2688,1,209.2266
IR,APC_1_view_2_fk_ref_01_005,1,0,0,0.3489,0.3489,1,188.5331
IR,APC_1_view_3_fk_ref_02_005,1,0,1,0.3065,0.3065,1,193.1624
IR,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0.0000,0,190.9435
IR,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0.0000,0,206.5954
IR,APC_3_view_3_fk_NL_05_005,1,0,1,0.2557,0.2557,1,200.0687
IR,Athena_2_men_in_front_of_house_meting003,3,2,0,0.5216,0.8419,1,185.4181
IR,Athena_APC_4_fennek01_005,0,0,0,0.0000,0.0000,0,193.5003
IR,Athena_heather_hei_vis,0,0,0,0.0000,0.0000,0,36.5489
IR,Athena_heather_IR_hei_vis_g,0,0,0,0.0000,0.0000,0,33.7367
IR,Athena_helicopter_helib_011,1,0,0,0.7145,0.7145,1,32.6955
IR,Athena_lake_lake,0,0,0,0.0000,0.0000,0,29.5637
IR,Athena_man_in_doorway_maninhuis,1,1,0,0.2868,0.2868,1,31.4388
IR,Athena_soldier_behind_smoke_1_meting012-1200,1,0,0,0.3151,0.3151,1,34.2398
IR,Athena_soldier_behind_smoke_2_meting012-1500,0,0,0,0.0000,0.0000,0,33.0153
IR,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0.0000,0,28.5132
IR,Athena_soldier_in_trench_1_meting016,1,1,0,0.8354,0.8354,1,33.5083
IR,Athena_soldier_in_trench_2_meting055,0,0,0,0.0000,0.0000,0,33.9963
IR,Triclobs_Bosnia_R,1,0,1,0.5695,0.5695,1,29.5813
IR,Triclobs_jeep_in_smoke_R,1,0,1,0.7627,0.7627,1,28.0228
Curvelet,APC_1_view_1_fk_06_005,0,0,0,0.0000,0.0000,0,37.0052
Curvelet,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0.0000,0,32.5286
Curvelet,APC_1_view_3_fk_ref_02_005,1,0,0,0.2855,0.2855,1,32.5131
Curvelet,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0.0000,0,35.5167
Curvelet,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0.0000,0,36.0191
Curvelet,APC_3_view_3_fk_NL_05_005,0,0,0,0.0000,0.0000,0,37.1647
Curvelet,Athena_2_men_in_front_of_house_meting003,1,1,0,0.7876,0.7876,1,33.5102
Curvelet,Athena_APC_4_fennek01_005,1,0,0,0.2990,0.2990,1,30.5059
Curvelet,Athena_heather_hei_vis,0,0,0,0.0000,0.0000,0,33.2780
Curvelet,Athena_heather_IR_hei_vis_g,1,0,0,0.2606,0.2606,1,37.5407
Curvelet,Athena_helicopter_helib_011,1,0,0,0.3607,0.3607,1,30.5161
Curvelet,Athena_lake_lake,0,0,0,0.0000,0.0000,0,32.5096
Curvelet,Athena_man_in_doorway_maninhuis,0,0,0,0.0000,0.0000,0,33.5319
Curvelet,Athena_soldier_behind_smoke_1_meting012-1200,0,0,0,0.0000,0.0000,0,34.8449
Curvelet,Athena_soldier_behind_smoke_2_meting012-1500,1,1,0,0.2930,0.2930,1,31.9924
Curvelet,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0.0000,0,32.0058
Curvelet,Athena_soldier_in_trench_1_meting016,1,1,0,0.8271,0.8271,1,34.1237
Curvelet,Athena_soldier_in_trench_2_meting055,0,0,0,0.0000,0.0000,0,33.0186
Curvelet,Triclobs_Bosnia_R,0,0,0,0.0000,0.0000,0,33.0193
Curvelet,Triclobs_jeep_in_smoke_R,0,0,0,0.0000,0.0000,0,33.7172
Optimo_Multiescala,APC_1_view_1_fk_06_005,0,0,0,0.0000,0.0000,0,34.5240
Optimo_Multiescala,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0.0000,0,29.5131
Optimo_Multiescala,APC_1_view_3_fk_ref_02_005,1,0,1,0.4886,0.4886,1,30.6075
Optimo_Multiescala,APC_3_view_1_fk_bar_06_005,1,0,0,0.2999,0.2999,1,31.0202
Optimo_Multiescala,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0.0000,0,30.6830
Optimo_Multiescala,APC_3_view_3_fk_NL_05_005,1,0,1,0.3322,0.3322,1,29.5126
Optimo_Multiescala,Athena_2_men_in_front_of_house_meting003,1,1,0,0.8111,0.8111,1,32.5084
Optimo_Multiescala,Athena_APC_4_fennek01_005,0,0,0,0.0000,0.0000,0,33.0155
Optimo_Multiescala,Athena_heather_hei_vis,0,0,0,0.0000,0.0000,0,29.5224
Optimo_Multiescala,Athena_heather_IR_hei_vis_g,0,0,0,0.0000,0.0000,0,30.0045
Optimo_Multiescala,Athena_helicopter_helib_011,1,0,0,0.4770,0.4770,1,29.0158
