method,image,n_det,n_person,n_vehicle,conf_mean,has_det,ms
VIS,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,31.2536
IR,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,30.3926
Promedio,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,30.4372
PiramideLaplace,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,29.8190
Curvelet,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,29.9697
TopHat_disk_L5,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,30.0481
Propuesta_Novedosa,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,31.2974
VIS,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,30.2782
IR,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,30.7636
Promedio,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,29.8710
PiramideLaplace,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,29.7592
Curvelet,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,29.8870
TopHat_disk_L5,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,30.0949
Propuesta_Novedosa,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,29.8562
VIS,APC_1_view_3_fk_ref_02_005,0,0,0,0.0000,0,31.0571
IR,APC_1_view_3_fk_ref_02_005,0,0,0,0.0000,0,31.1685
Promedio,APC_1_view_3_fk_ref_02_005,0,0,0,0.0000,0,31.3742
PiramideLaplace,APC_1_view_3_fk_ref_02_005,0,0,0,0.0000,0,30.9153
Curvelet,APC_1_view_3_fk_ref_02_005,0,0,0,0.0000,0,30.6711
TopHat_disk_L5,APC_1_view_3_fk_ref_02_005,0,0,0,0.0000,0,31.2667
Propuesta_Novedosa,APC_1_view_3_fk_ref_02_005,0,0,0,0.0000,0,31.2521
VIS,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,30.9823
IR,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,31.3902
Promedio,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,30.2355
PiramideLaplace,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,30.7436
Curvelet,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,31.6844
TopHat_disk_L5,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,30.6911
Propuesta_Novedosa,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,29.9344
