method,image,n_det,n_person,n_vehicle,conf_mean,has_det,ms
VIS,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,1063.4360
IR,APC_1_view_1_fk_06_005,2,1,0,0.2682,1,20.2217
Promedio,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,11.0044
PiramideLaplace,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,8.0841
Curvelet,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,7.5154
TopHat_disk_L5,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,8.1093
Propuesta_Novedosa,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,7.0095
VIS,APC_1_view_2_fk_ref_01_005,2,1,0,0.5212,1,9.4485
IR,APC_1_view_2_fk_ref_01_005,1,0,0,0.3484,1,7.9577
Promedio,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,7.4565
PiramideLaplace,APC_1_view_2_fk_ref_01_005,1,0,0,0.2621,1,8.4984
Curvelet,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,8.4977
TopHat_disk_L5,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,8.0023
Propuesta_Novedosa,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,6.9997
VIS,APC_1_view_3_fk_ref_02_005,2,0,2,0.4476,1,10.1190
IR,APC_1_view_3_fk_ref_02_005,1,0,1,0.3051,1,11.5042
Promedio,APC_1_view_3_fk_ref_02_005,1,0,1,0.4542,1,8.5092
PiramideLaplace,APC_1_view_3_fk_ref_02_005,1,0,1,0.4423,1,8.0838
Curvelet,APC_1_view_3_fk_ref_02_005,1,0,0,0.2867,1,8.0004
TopHat_disk_L5,APC_1_view_3_fk_ref_02_005,1,0,1,0.4681,1,7.1249
Propuesta_Novedosa,APC_1_view_3_fk_ref_02_005,1,0,1,0.4492,1,7.5734
VIS,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,8.7786
IR,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,6.7987
Promedio,APC_3_view_1_fk_bar_06_005,1,0,0,0.2818,1,10.1578
PiramideLaplace,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,7.8061
Curvelet,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,7.6585
