metric,tophat,baseline,mean_tophat,mean_baseline,p_value
n_det,TopHat_Optimo,Promedio,0.25,0.35,0.15729920705028502
n_det,TopHat_Optimo,PiramideLaplace,0.25,0.3,0.5637028616507731
n_det,TopHat_Optimo,Curvelet,0.25,0.35,0.4142161782425253
n_det,TopHat_Optimo,VIS,0.25,0.35,0.5270892568655381
n_det,TopHat_Optimo,IR,0.25,0.7,0.020874593888460854
n_det,TopHat_cross_L3,Promedio,0.4,0.35,0.6547208460185769
n_det,TopHat_cross_L3,PiramideLaplace,0.4,0.3,0.31731050786291415
n_det,TopHat_cross_L3,Curvelet,0.4,0.35,0.6547208460185769
n_det,TopHat_cross_L3,VIS,0.4,0.35,0.7920689965469446
n_det,TopHat_cross_L3,IR,0.4,0.7,0.10671881632938239
n_det,TopHat_cross_L3_BTH,Promedio,0.6,0.35,0.0955807045456294
n_det,TopHat_cross_L3_BTH,PiramideLaplace,0.6,0.3,0.057779571123597204
n_det,TopHat_cross_L3_BTH,Curvelet,0.6,0.35,0.13166801602281422
n_det,TopHat_cross_L3_BTH,VIS,0.6,0.35,0.21801395384895594
n_det,TopHat_cross_L3_BTH,IR,0.6,0.7,0.5889603527025324
n_det,TopHat_disk_L3,Promedio,0.4,0.35,0.6547208460185769
n_det,TopHat_disk_L3,PiramideLaplace,0.4,0.3,0.31731050786291415
n_det,TopHat_disk_L3,Curvelet,0.4,0.35,0.6547208460185769
n_det,TopHat_disk_L3,VIS,0.4,0.35,0.7388826803635273
n_det,TopHat_disk_L3,IR,0.4,0.7,0.10671881632938239
n_det,TopHat_disk_L3_BTH,Promedio,0.35,0.35,1.0
n_det,TopHat_disk_L3_BTH,PiramideLaplace,0.35,0.3,0.5637028616507731
n_det,TopHat_disk_L3_BTH,Curvelet,0.35,0.35,1.0
n_det,TopHat_disk_L3_BTH,VIS,0.35,0.35,1.0
n_det,TopHat_disk_L3_BTH,IR,0.35,0.7,0.053205529811587465
n_det,TopHat_disk_L5,Promedio,0.4,0.35,0.5637028616507731
n_det,TopHat_disk_L5,PiramideLaplace,0.4,0.3,0.31731050786291415
n_det,TopHat_disk_L5,Curvelet,0.4,0.35,0.6547208460185769
n_det,TopHat_disk_L5,VIS,0.4,0.35,0.763024600552995
n_det,TopHat_disk_L5,IR,0.4,0.7,0.10671881632938239
n_det,TopHat_disk_L5_BTH,Promedio,0.55,0.35,0.15729920705028502
