par,carpeta_tno,escena,pares_en_la_escena
APC_1_view_1_fk_06_005,Athena_images/APC_1/view_1,Athena_images/APC_1,3
APC_1_view_2_fk_ref_01_005,Athena_images/APC_1/view_2,Athena_images/APC_1,3
APC_1_view_3_fk_ref_02_005,Athena_images/APC_1/view_3,Athena_images/APC_1,3
APC_3_view_1_fk_bar_06_005,Athena_images/APC_3/view_1,Athena_images/APC_3,3
APC_3_view_2_fk_NL_01_005,Athena_images/APC_3/view_2,Athena_images/APC_3,3
APC_3_view_3_fk_NL_05_005,Athena_images/APC_3/view_3,Athena_images/APC_3,3
Athena_2_men_in_front_of_house_meting003,Athena_images/2_men_in_front_of_house,Athena_images/2_men_in_front_of_house,1
Athena_APC_4_fennek01_005,Athena_images/APC_4,Athena_images/APC_4,1
Athena_heather_hei_vis,Athena_images/heather,Athena_images/heather,1
Athena_helicopter_helib_011,Athena_images/helicopter,Athena_images/helicopter,1
Athena_lake_lake,Athena_images/lake,Athena_images/lake,1
Athena_man_in_doorway_maninhuis,Athena_images/man_in_doorway,Athena_images/man_in_doorway,1
Athena_soldier_behind_smoke_1_meting012-1200,Athena_images/soldier_behind_smoke_1,Athena_images/soldier_behind_smoke,3
Athena_soldier_behind_smoke_2_meting012-1500,Athena_images/soldier_behind_smoke_2,Athena_images/soldier_behind_smoke,3
Athena_soldier_behind_smoke_3_meting012-1700,Athena_images/soldier_behind_smoke_3,Athena_images/soldier_behind_smoke,3
Athena_soldier_in_trench_1_meting016,Athena_images/soldier_in_trench_1,Athena_images/soldier_in_trench,2
Athena_soldier_in_trench_2_meting055,Athena_images/soldier_in_trench_2,Athena_images/soldier_in_trench,2
Triclobs_Bosnia_R,Triclobs_images/Bosnia,Triclobs_images/Bosnia,1
Triclobs_Kaptein_1123,Triclobs_images/Kaptein_1123,Triclobs_images/Kaptein_1123,1
Triclobs_jeep_in_smoke_R,Triclobs_images/jeep_in_smoke,Triclobs_images/jeep_in_smoke,1
