metric,chi2,p_value,significant_05
EN,216.27638190954767,2.554281357427581e-38,True
SD,249.2311557788946,4.1446925071154236e-45,True
FE,216.27638190954767,2.554281357427581e-38,True
MG,259.57788944723615,2.991299086771202e-47,True
MI_vis,209.29529780564278,6.8949086146101414e-37,True
MI_ir,199.0909090909091,8.422909045372013e-35,True
SF,261.11055276381916,1.4396770527327184e-47,True
Qabf,217.55500000000006,1.3958323869285053e-38,True
Nabf,257.3900000000001,8.493248536660717e-47,True
SSIM,264.2771159874609,3.1755496744602356e-48,True
SCD,157.79999999999995,1.964120976279252e-26,True
VIF,237.84422110552762,9.317722781711639e-43,True
