r,m,objetos_unica_modalidad,recupera,pct_objetos,recupera_solo_VIS,de_solo_VIS,recupera_solo_IR,de_solo_IR,escenas_aptas,resuelve_escenas,pct_escenas
5,0.05,447,269,60.2,122,179,147,268,56,10,17.9
5,0.1,447,272,60.9,128,179,144,268,56,11,19.6
5,0.15,447,266,59.5,129,179,137,268,56,8,14.3
5,0.2,447,262,58.6,128,179,134,268,56,8,14.3
5,0.3,447,249,55.7,122,179,127,268,56,8,14.3
5,0.5,447,211,47.2,99,179,112,268,56,5,8.9
15,0.05,447,267,59.7,122,179,145,268,56,10,17.9
15,0.1,447,274,61.3,130,179,144,268,56,9,16.1
15,0.15,447,266,59.5,129,179,137,268,56,8,14.3
15,0.2,447,262,58.6,130,179,132,268,56,11,19.6
15,0.3,447,244,54.6,123,179,121,268,56,8,14.3
15,0.5,447,202,45.2,95,179,107,268,56,6,10.7
25,0.05,447,270,60.4,122,179,148,268,56,9,16.1
25,0.1,447,275,61.5,129,179,146,268,56,9,16.1
25,0.15,447,265,59.3,131,179,134,268,56,9,16.1
25,0.2,447,258,57.7,126,179,132,268,56,10,17.9
25,0.3,447,232,51.9,118,179,114,268,56,6,10.7
25,0.5,447,188,42.1,94,179,94,268,56,2,3.6
