r,m,clave,detectado
5,0.1,63|People|0,1
5,0.1,63|People|1,1
5,0.1,63|People|2,1
5,0.1,63|People|3,1
5,0.1,63|People|4,0
5,0.1,63|Lamp|0,0
5,0.1,64|People|0,0
5,0.1,64|People|1,0
5,0.1,64|People|2,0
5,0.1,64|People|3,1
5,0.1,64|People|4,1
5,0.1,64|People|5,1
5,0.1,64|Lamp|0,0
5,0.1,71|People|0,0
5,0.1,71|People|1,0
5,0.1,71|Lamp|0,0
5,0.1,73|People|0,0
5,0.1,73|People|1,1
5,0.1,73|Lamp|0,0
5,0.1,78|People|0,0
5,0.1,78|People|1,1
5,0.1,78|People|2,1
5,0.1,78|People|3,1
5,0.1,78|People|4,0
5,0.1,78|People|5,0
5,0.1,78|Lamp|0,0
5,0.1,111|People|0,1
5,0.1,111|People|1,1
5,0.1,111|People|2,1
5,0.1,111|People|3,1
5,0.1,111|People|4,0
5,0.1,111|People|5,1
5,0.1,111|People|6,1
5,0.1,111|Lamp|0,1
5,0.1,111|Lamp|1,1
5,0.1,111|Lamp|2,0
5,0.1,111|Lamp|3,1
5,0.1,114|People|0,1
5,0.1,114|People|1,1
5,0.1,114|People|2,1
5,0.1,114|People|3,1
5,0.1,114|People|4,1
5,0.1,114|People|5,0
5,0.1,114|People|6,0
5,0.1,114|Lamp|0,0
5,0.1,114|Lamp|1,1
5,0.1,114|Lamp|2,1
5,0.1,116|People|0,1
5,0.1,116|People|1,1
5,0.1,116|People|2,1
5,0.1,116|People|3,1
5,0.1,116|People|4,1
5,0.1,116|People|5,1
5,0.1,116|People|6,1
5,0.1,116|People|7,0
5,0.1,116|Lamp|0,0
5,0.1,116|Lamp|1,1
5,0.1,116|Lamp|2,1
5,0.1,116|Lamp|3,1
5,0.1,118|People|0,1
5,0.1,118|People|1,1
5,0.1,118|People|2,1
5,0.1,118|People|3,1
5,0.1,118|People|4,1
5,0.1,118|People|5,1
5,0.1,118|People|6,1
5,0.1,118|People|7,1
5,0.1,118|Lamp|0,1
5,0.1,118|Lamp|1,1
5,0.1,118|Lamp|2,1
5,0.1,118|Lamp|3,1
5,0.1,123|People|0,1
5,0.1,123|People|1,1
5,0.1,123|People|2,0
5,0.1,123|People|3,1
5,0.1,123|People|4,1
5,0.1,123|People|5,1
5,0.1,123|People|6,1
5,0.1,123|Lamp|0,1
5,0.1,123|Lamp|1,1
5,0.1,123|Lamp|2,0
5,0.1,123|Lamp|3,0
5,0.1,123|Lamp|4,1
5,0.1,125|People|0,0
5,0.1,125|People|1,1
5,0.1,125|People|2,1
5,0.1,125|People|3,1
5,0.1,125|People|4,1
5,0.1,125|People|5,1
5,0.1,125|People|6,0
5,0.1,125|People|7,0
5,0.1,125|Lamp|0,1
5,0.1,125|Lamp|1,1
5,0.1,125|Lamp|2,1
5,0.1,125|Lamp|3,1
5,0.1,125|Lamp|4,1
5,0.1,126|People|0,0
5,0.1,126|People|1,1
5,0.1,126|People|2,1
5,0.1,126|People|3,0
5,0.1,126|People|4,0
5,0.1,126|People|5,1
5,0.1,126|People|6,0
5,0.1,126|People|7,1
5,0.1,126|People|8,0
5,0.1,126|Lamp|0,1
5,0.1,126|Lamp|1,1
5,0.1,126|Lamp|2,1
5,0.1,126|Lamp|3,1
5,0.1,126|Lamp|4,1
5,0.1,127|People|0,0
5,0.1,127|People|1,0
5,0.1,127|People|2,1
5,0.1,127|People|3,1
5,0.1,127|People|4,0
5,0.1,127|People|5,1
5,0.1,127|People|6,1
5,0.1,127|People|7,1
5,0.1,127|People|8,0
5,0.1,127|People|9,1
5,0.1,127|Lamp|0,1
5,0.1,127|Lamp|1,0
5,0.1,127|Lamp|2,1
5,0.1,127|Lamp|3,1
5,0.1,127|Lamp|4,1
5,0.1,129|People|0,0
5,0.1,129|People|1,1
5,0.1,129|People|2,1
5,0.1,129|People|3,0
5,0.1,129|People|4,0
5,0.1,129|People|5,0
5,0.1,129|People|6,0
5,0.1,129|People|7,1
5,0.1,129|Lamp|0,1
5,0.1,129|Lamp|1,0
5,0.1,129|Lamp|2,1
5,0.1,129|Lamp|3,1
5,0.1,129|Lamp|4,0
5,0.1,130|People|0,0
5,0.1,130|People|1,0
5,0.1,130|People|2,0
5,0.1,130|People|3,1
5,0.1,130|People|4,0
5,0.1,130|People|5,0
5,0.1,130|Lamp|0,0
5,0.1,130|Lamp|1,0
5,0.1,130|Lamp|2,1
5,0.1,130|Lamp|3,0
5,0.1,132|People|0,0
5,0.1,132|People|1,1
5,0.1,132|People|2,0
5,0.1,132|People|3,1
5,0.1,132|People|4,1
5,0.1,132|People|5,1
5,0.1,132|Lamp|0,1
5,0.1,132|Lamp|1,0
5,0.1,132|Lamp|2,0
5,0.1,132|Lamp|3,0
5,0.1,135|People|0,0
5,0.1,135|People|1,0
5,0.1,135|People|2,1
5,0.1,135|People|3,1
5,0.1,135|People|4,0
5,0.1,135|People|5,0
5,0.1,135|People|6,0
