csv,produce,productores,llega_a_documento,generadores
ablacion_banco.csv,run_ablacion_banco.py,1,si,make_avances_report.py
ablacion_banco_contrastes.csv,run_ablacion_banco.py,1,no,—
ablacion_banco_resumen.csv,run_ablacion_banco.py + run_ranking_mas_nabf.py,2,si,make_avances_report.py
ajuste_comparativos.csv,run_ajuste_comparativos.py,1,si,make_avances_report.py
ajuste_comparativos_mejores.csv,run_ajuste_comparativos.py,1,si,make_avances_report.py
ajuste_comparativos_ranking.csv,run_ajuste_comparativos.py,1,si,make_avances_report.py
all_metrics.csv,run_all_fusions.py + run_metodologia_referencia.py + run_stats_analysis.py,3,si,make_avances_excel.py + make_avances_report.py
aptitud_operador_configs.csv,analisis_aptitud_operador.py,1,no,—
aptitud_operador_energia.csv,analisis_aptitud_operador.py,1,si,make_avances_report.py
aptitud_operador_terminos.csv,analisis_aptitud_operador.py,1,no,—
barrido_metricas_vs_m.csv,barrido_metricas_vs_m.py,1,si,make_avances_report.py
comparacion_aptitudes.csv,compara_aptitudes.py,1,si,make_avances_report.py
comparacion_aptitudes_wilcoxon.csv,compara_aptitudes.py,1,no,—
complementariedad_criticas.csv,run_complementariedad_escenas.py,1,no,—
complementariedad_objetos.csv,run_complementariedad_objetos.py + run_grilla_complementariedad.py + run_pareado_punto_operacion.py,3,si,make_avances_report.py
complementariedad_objetos_escenas.csv,run_complementariedad_objetos.py + run_grilla_complementariedad.py + run_pareado_punto_operacion.py,3,si,make_avances_report.py
complementariedad_objetos_escenas_m3fd_test.csv,run_complementariedad_objetos.py + run_grilla_complementariedad.py + run_pareado_punto_operacion.py,3,si,make_avances_report.py
complementariedad_objetos_m3fd_test.csv,run_complementariedad_objetos.py + run_grilla_complementariedad.py + run_pareado_punto_operacion.py,3,si,make_avances_report.py
complementariedad_objetos_resumen.csv,run_complementariedad_objetos.py + run_grilla_complementariedad.py + run_pareado_punto_operacion.py,3,si,make_avances_report.py
complementariedad_objetos_resumen_m3fd_test.csv,run_complementariedad_objetos.py + run_grilla_complementariedad.py + run_pareado_punto_operacion.py,3,si,make_avances_report.py
complementariedad_por_escena.csv,run_complementariedad_escenas.py,1,si,make_avances_report.py
complementariedad_resumen.csv,run_complementariedad_escenas.py,1,si,make_avances_report.py
control_negativo.csv,run_control_negativo.py,1,si,make_avances_report.py
control_negativo_ranking.csv,run_control_negativo.py,1,si,make_avances_report.py
control_tophat_igual_peso.csv,SIN PRODUCTOR,0,si,make_avances_report.py
control_tophat_igual_peso_ranking.csv,make_avances_report.py,1,si,make_avances_report.py
correlacion_calidad_deteccion.csv,run_correlacion_calidad_deteccion.py,1,no,—
curva_aptitud_vs_m.csv,SIN PRODUCTOR,0,si,make_avances_report.py
descriptive_means.csv,eval_fo_optima.py + run_stats_analysis.py,2,si,make_avances_excel.py + make_avances_report.py
detecciones_metodos_escena.csv,make_figura_detecciones_metodos.py,1,si,make_avances_report.py
