r,m,Fo
1,0.01,1.7592931228112745
1,0.02,1.759722484865789
1,0.03,1.7600968314353256
1,0.04,1.7604529355743335
1,0.05,1.7606687799961824
1,0.06,1.760747555679827
1,0.07,1.7606903657850523
1,0.08,1.7605450649049954
1,0.09,1.7602749088592278
1,0.1,1.7598863524284176
1,0.11,1.7594095322210663
1,0.12,1.7588307934425547
1,0.13,1.7581703035635963
1,0.14,1.7574248680629896
1,0.15,1.756579927822424
1,0.16,1.7556542904747525
1,0.17,1.75462079787585
1,0.18,1.7535262081531362
1,0.19,1.752339560716316
1,0.2,1.751057282170892
1,0.21,1.749733664185223
1,0.22,1.7483174757904216
1,0.23,1.7468229154373132
1,0.24,1.7452872187949586
1,0.25,1.7436939141906687
1,0.26,1.7420616931978137
1,0.27,1.7403733384838114
1,0.28,1.738626889663177
1,0.29,1.7368333067007509
1,0.3,1.7349912867836395
1,0.31,1.7331310349306397
1,0.32,1.73121253771712
1,0.33,1.7292548928676912
1,0.34,1.7272497981164197
1,0.35,1.7252061473622176
1,0.36,1.723155558697072
1,0.37,1.7210533422530687
1,0.38,1.7189550760610792
1,0.39,1.716816403697046
1,0.4,1.7146456119494766
1,0.41,1.7124528221553668
1,0.42,1.7102352048784208
1,0.43,1.7079918682096216
1,0.44,1.7057327833860778
1,0.45,1.7034467888938185
1,0.46,1.701143893649664
1,0.47,1.6988205777659264
1,0.48,1.696471654268085
1,0.49,1.6941285336138152
1,0.5,1.6917312582666815
1,0.51,1.689377948309323
1,0.52,1.6869786936953615
1,0.53,1.6845926310545078
1,0.54,1.6821700139700855
1,0.55,1.6797521560288882
1,0.56,1.6773151822485477
1,0.57,1.6748712136735608
1,0.58,1.6724339479788553
1,0.59,1.669979189027962
1,0.6,1.6675037806766848
1,0.61,1.6650737435347194
1,0.62,1.6626062460734967
1,0.63,1.6601404124438917
1,0.64,1.6576694229546949
1,0.65,1.6551984290178419
1,0.66,1.652707440001339
1,0.67,1.650288075405548
1,0.68,1.6478219430275705
1,0.69,1.6453570534726334
1,0.7,1.642895532671293
1,0.71,1.640461141569676
1,0.72,1.6379955900459586
1,0.73,1.6355566833724795
1,0.74,1.6331198593383842
1,0.75,1.6306718976635188
1,0.76,1.6282527630001313
1,0.77,1.6258303330150452
1,0.78,1.6234154223390505
1,0.79,1.6209983258980298
1,0.8,1.618553296884371
1,0.81,1.616175459301265
1,0.82,1.6137774567998562
1,0.83,1.6113930427777114
1,0.84,1.6090223840803113
1,0.85,1.6066525278659334
1,0.86,1.6042952824043297
1,0.87,1.6019385001010111
1,0.88,1.5995988106783747
1,0.89,1.5972817487914945
1,0.9,1.5949462261778073
1,0.91,1.5926381749200385
1,0.92,1.590331125251358
1,0.93,1.5880471223882744
1,0.94,1.5857661327012664
1,0.95,1.5834980128480354
1,0.96,1.58123755597474
1,0.97,1.5789882017303778
1,0.98,1.5767782164252304
1,0.99,1.5745506331354164
1,1.0,1.5721250704052199
1,1.01,1.570113838148506
1,1.02,1.5679359378132147
1,1.03,1.5657646690122025
1,1.04,1.5635992778668222
1,1.05,1.5614498968326005
1,1.06,1.5593106276782864
1,1.07,1.5571858541729062
1,1.08,1.5550694187203877
1,1.09,1.5529746703404161
1,1.1,1.5508850651990447
1,1.11,1.5488176068456159
1,1.12,1.54675014296647
1,1.13,1.5447095543916063
1,1.14,1.5426700630757342
1,1.15,1.5406334837003044
1,1.16,1.538615879597051
1,1.17,1.5366168128566675
1,1.18,1.5346240645879463
1,1.19,1.5326511168978387
1,1.2,1.5306578852629824
1,1.21,1.5287356409080772
1,1.22,1.52679086019109
1,1.23,1.5248617777478968
1,1.24,1.5229470031791248
1,1.25,1.5210370230079422
1,1.26,1.519157714967152
1,1.27,1.517281530778143
1,1.28,1.5154202845168372
1,1.29,1.5135782291253088
1,1.3,1.5117296966251133
1,1.31,1.509915102675753
1,1.32,1.5080937512049888
1,1.33,1.5062641264331553
1,1.34,1.5045203763144945
1,1.35,1.5027325995115455
1,1.36,1.5009622544561132
1,1.37,1.4992143572372623
1,1.38,1.497474412580582
1,1.39,1.495742848499759
1,1.4,1.4940112791259246
1,1.41,1.492322512167151
1,1.42,1.490624166279461
1,1.43,1.4889448174402176
1,1.44,1.4872828645599423
1,1.45,1.4856299026525
1,1.46,1.4839864541410377
1,1.47,1.4823616378664928
1,1.48,1.480736371124955
1,1.49,1.4791322165888114
1,1.5,1.4774892478777366
1,1.51,1.4759494555483765
1,1.52,1.4743570282114717
1,1.53,1.4728040766467476
1,1.54,1.4712533129479757
1,1.55,1.4697048168381823
1,1.56,1.46816555068931
1,1.57,1.4666443890251148
1,1.58,1.4651515868723504
1,1.59,1.4636573614458888
1,1.6,1.4621353943514765
1,1.61,1.4606847184245446
1,1.62,1.4592107532151537
1,1.63,1.4577421813314746
1,1.64,1.456307328576794
1,1.65,1.4548725722977764
1,1.66,1.45345275115599
1,1.67,1.4520285039269545
1,1.68,1.4506219583637214
1,1.69,1.449230750537507
1,1.7,1.4478403679625196
1,1.71,1.4464740684438127
1,1.72,1.4451056390926162
1,1.73,1.4437503656593202
1,1.74,1.442386929638733
1,1.75,1.4410381920263842
1,1.76,1.4397154111203239
1,1.77,1.4384074866591117
1,1.78,1.4370981417004918
1,1.79,1.435790876905059
1,1.8,1.43448811488702
1,1.81,1.433214952006331
1,1.82,1.4319436173826654
1,1.83,1.4306849110202344
1,1.84,1.429418099419604
1,1.85,1.4281604153375211
1,1.86,1.4269330297995841
1,1.87,1.4256879973545644
1,1.88,1.4244583592786082
1,1.89,1.4232455148248713
1,1.9,1.4220297280609968
1,1.91,1.4208387821134962
1,1.92,1.4196599282694742
1,1.93,1.4184932086042805
1,1.94,1.4173234807469342
1,1.95,1.4161449277960412
1,1.96,1.4149822422044496
1,1.97,1.4138225540699112
1,1.98,1.412701547712435
1,1.99,1.4117561303291224
1,2.0,1.4104537172804943
2,0.01,1.7595608257621551
2,0.02,1.76022009283881
2,0.03,1.760865545065953
2,0.04,1.7612944169844207
2,0.05,1.7614872391396128
2,0.06,1.7614630055534441
2,0.07,1.7612298090256884
2,0.08,1.7608134675058595
2,0.09,1.7602469360119217
2,0.1,1.7595047785060753
2,0.11,1.7586075746874181
2,0.12,1.75755799162574
2,0.13,1.7563654176592027
2,0.14,1.7550514422288328
2,0.15,1.7535930348031226
2,0.16,1.7520097998057043
2,0.17,1.7503018973160647
2,0.18,1.748473552988412
2,0.19,1.7465037609672027
2,0.2,1.7444082994607957
2,0.21,1.7422657462006583
2,0.22,1.7399882634831731
2,0.23,1.737616150691854
2,0.24,1.7351678059091185
2,0.25,1.7326442418187404
2,0.26,1.7300635581795316
2,0.27,1.7274058317248528
2,0.28,1.7247105882369809
2,0.29,1.7219658692885134
2,0.3,1.7191683530179669
2,0.31,1.7163331136244107
2,0.32,1.7134611243415356
2,0.33,1.7105641083990977
2,0.34,1.707626404320016
2,0.35,1.7046633353922684
2,0.36,1.70169550407896
2,0.37,1.6987114817979065
2,0.38,1.695704494413157
2,0.39,1.6926896507473679
2,0.4,1.6896211573031363
2,0.41,1.686576987273715
2,0.42,1.6834898331171493
2,0.43,1.6803963262503314
2,0.44,1.6773029799418155
2,0.45,1.6741805851676113
2,0.46,1.6710649795914827
2,0.47,1.6679458262804399
2,0.48,1.6648219053757545
2,0.49,1.6616865148965134
2,0.5,1.658539253993034
2,0.51,1.6554362340318705
2,0.52,1.652301903359297
2,0.53,1.6491765897247859
2,0.54,1.6460501344818563
2,0.55,1.6429396647241266
2,0.56,1.6398221240180038
2,0.57,1.6367220843906771
2,0.58,1.6336301664106456
2,0.59,1.6305435885324675
2,0.6,1.6274410056996576
2,0.61,1.6244015031362602
2,0.62,1.6213629292466
2,0.63,1.6183198676155868
