delta_pp,dif_escenas,p_alternativa,potencia
0.0,0.0,0.5,0.03469
0.1,0.23,0.505043,0.034898
0.2,0.46,0.510087,0.035523
0.3,0.7,0.51513,0.036568
0.4,0.93,0.520174,0.038036
0.5,1.16,0.525217,0.039933
0.6,1.39,0.530261,0.042264
0.7,1.62,0.535304,0.045039
0.8,1.86,0.540348,0.048265
0.9,2.09,0.545391,0.051954
1.0,2.32,0.550435,0.056117
1.1,2.55,0.555478,0.060766
1.2,2.78,0.560522,0.065913
1.3,3.02,0.565565,0.071572
1.4,3.25,0.570609,0.077757
1.5,3.48,0.575652,0.084482
1.6,3.71,0.580696,0.091762
1.7,3.94,0.585739,0.099608
1.8,4.18,0.590783,0.108036
1.9,4.41,0.595826,0.117058
2.0,4.64,0.60087,0.126685
2.1,4.87,0.605913,0.136929
2.2,5.1,0.610957,0.147799
2.3,5.34,0.616,0.159302
2.4,5.57,0.621043,0.171444
2.5,5.8,0.626087,0.18423
2.6,6.03,0.63113,0.19766
2.7,6.26,0.636174,0.211735
2.8,6.5,0.641217,0.226449
2.9,6.73,0.646261,0.241797
3.0,6.96,0.651304,0.257769
3.1,7.19,0.656348,0.274352
3.2,7.42,0.661391,0.29153
3.3,7.66,0.666435,0.309282
3.4,7.89,0.671478,0.327586
3.5,8.12,0.676522,0.346414
3.6,8.35,0.681565,0.365735
3.7,8.58,0.686609,0.385516
3.8,8.82,0.691652,0.405717
3.9,9.05,0.696696,0.426297
4.0,9.28,0.701739,0.447212
4.1,9.51,0.706783,0.468412
4.2,9.74,0.711826,0.489847
4.3,9.98,0.71687,0.511462
4.4,10.21,0.721913,0.533201
4.5,10.44,0.726957,0.555005
4.6,10.67,0.732,0.576813
4.7,10.9,0.737043,0.598562
4.8,11.14,0.742087,0.620191
4.9,11.37,0.74713,0.641634
5.0,11.6,0.752174,0.662829
5.1,11.83,0.757217,0.683712
5.2,12.06,0.762261,0.704221
5.3,12.3,0.767304,0.724295
5.4,12.53,0.772348,0.743876
5.5,12.76,0.777391,0.762908
5.6,12.99,0.782435,0.781338
5.7,13.22,0.787478,0.799118
5.8,13.46,0.792522,0.816201
5.9,13.69,0.797565,0.832549
6.0,13.92,0.802609,0.848126
6.1,14.15,0.807652,0.862902
6.2,14.38,0.812696,0.876854
6.3,14.62,0.817739,0.889964
6.4,14.85,0.822783,0.90222
6.5,15.08,0.827826,0.913617
6.6,15.31,0.83287,0.924156
6.7,15.54,0.837913,0.933845
6.8,15.78,0.842957,0.942696
6.9,16.01,0.848,0.95073
7.0,16.24,0.853043,0.95797
7.1,16.47,0.858087,0.964448
7.2,16.7,0.86313,0.970199
7.3,16.94,0.868174,0.975261
7.4,17.17,0.873217,0.979676
7.5,17.4,0.878261,0.983491
7.6,17.63,0.883304,0.986753
7.7,17.86,0.888348,0.989511
7.8,18.1,0.893391,0.991815
7.9,18.33,0.898435,0.993713
8.0,18.56,0.903478,0.995255
8.1,18.79,0.908522,0.996487
8.2,19.02,0.913565,0.997455
8.3,19.26,0.918609,0.9982
8.4,19.49,0.923652,0.998761
8.5,19.72,0.928696,0.999173
8.6,19.95,0.933739,0.999467
8.7,20.18,0.938783,0.999671
8.8,20.42,0.943826,0.999806
8.9,20.65,0.94887,0.999892
9.0,20.88,0.953913,0.999944
9.1,21.11,0.958957,0.999973
9.2,21.34,0.964,0.999988
9.3,21.58,0.969043,0.999996
9.4,21.81,0.974087,0.999999
9.5,22.04,0.97913,1.0
9.6,22.27,0.984174,1.0
9.7,22.5,0.989217,1.0
9.8,22.74,0.994261,1.0
9.9,22.97,0.999304,1.0
