n,Tmax,evaluaciones,r_opt,m_opt,Fo_opt,segundos
2,10,20,14,0.3000,1.7486,5
2,20,40,1,0.3000,1.7507,5
2,30,60,25,0.3000,1.7544,40
2,40,80,1,0.3000,1.7507,10
2,50,100,1,0.3000,1.7507,12
4,10,40,1,0.3000,1.7507,5
4,20,80,25,0.3000,1.7544,58
4,30,120,1,0.3000,1.7507,42
4,40,160,1,0.3000,1.7507,81
4,50,200,25,0.3000,1.7544,375
6,10,60,1,0.3000,1.7507,7
6,20,120,1,0.3000,1.7507,14
6,30,180,1,0.3000,1.7507,19
6,40,240,1,0.3000,1.7507,25
6,50,300,1,0.3000,1.7507,29
8,10,80,25,0.3000,1.7544,47
8,20,160,1,0.3000,1.7507,17
8,30,240,25,0.3000,1.7544,151
8,40,320,25,0.3000,1.7544,205
8,50,400,25,0.3000,1.7544,859
10,10,100,25,0.3000,1.7544,57
10,20,200,25,0.3000,1.7544,117
10,30,300,25,0.3000,1.7544,183
10,40,400,25,0.3000,1.7544,261
10,50,500,25,0.3000,1.7544,336
