n,Tmax,evaluaciones,r_opt,m_opt,Fo_opt,segundos
2,10,20,14,0.3000,1.6990,8
2,20,40,1,0.3000,1.7350,9
2,30,60,25,0.3000,1.7057,50
2,40,80,1,0.3000,1.7350,17
2,50,100,1,0.3000,1.7350,18
4,10,40,1,0.3000,1.7350,8
4,20,80,25,0.3000,1.7057,65
4,30,120,1,0.3000,1.7350,25
4,40,160,1,0.3000,1.7350,29
4,50,200,1,0.3000,1.7350,39
6,10,60,1,0.3000,1.7350,14
6,20,120,1,0.3000,1.7350,27
6,30,180,1,0.3000,1.7350,41
6,40,240,1,0.3000,1.7350,49
6,50,300,1,0.3000,1.7350,56
8,10,80,25,0.3000,1.7057,64
8,20,160,1,0.3000,1.7350,30
8,30,240,25,0.3000,1.7057,184
8,40,320,25,0.3000,1.7057,261
8,50,400,1,0.3000,1.7350,79
10,10,100,25,0.3000,1.7057,75
10,20,200,1,0.3000,1.7350,40
10,30,300,1,0.3000,1.7350,56
10,40,400,25,0.3000,1.7057,318
10,50,500,25,0.3000,1.7057,409
