n,Tmax,evaluaciones,r_opt,m_opt,Fo_opt,segundos
2,10,20,14,0.0500,1.7622,7
2,20,40,1,0.0500,1.7556,8
2,30,60,25,0.0500,1.7642,48
2,40,80,1,0.0500,1.7556,15
2,50,100,3,0.0500,1.7572,20
4,10,40,19,0.0500,1.7633,12
4,20,80,25,0.0734,1.7654,60
4,30,120,25,0.0500,1.7642,222
4,40,160,25,0.0500,1.7642,528
4,50,200,25,0.0500,1.7642,365
6,10,60,4,0.0500,1.7580,12
6,20,120,25,0.0500,1.7642,50
6,30,180,25,0.0500,1.7642,121
6,40,240,25,0.0500,1.7642,374
6,50,300,25,0.0500,1.7642,657
8,10,80,25,0.0500,1.7642,384
8,20,160,1,0.0736,1.7558,85
8,30,240,25,0.0500,1.7642,731
8,40,320,25,0.0736,1.7654,244
8,50,400,25,0.0500,1.7642,325
10,10,100,25,0.0500,1.7642,248
10,20,200,25,0.0500,1.7642,232
10,30,300,25,0.0500,1.7642,1645
10,40,400,25,0.0500,1.7642,1700
10,50,500,25,0.0736,1.7654,1406
