operador,repeticion,n,Tmax,evaluaciones,r_opt,m_opt,Fo_opt,segundos
propuesta,0,2,10,20,14,0.3,1.699016,3.0
propuesta,0,2,20,40,1,0.3,1.734991,4.2
propuesta,0,2,30,60,25,0.3,1.705696,7.3
propuesta,0,2,40,80,1,0.3,1.734991,6.8
propuesta,0,2,50,100,1,0.3,1.734991,8.0
propuesta,0,4,10,40,1,0.3,1.734991,3.9
propuesta,0,4,20,80,25,0.3,1.705696,6.9
propuesta,0,4,30,120,1,0.3,1.734991,9.9
propuesta,0,4,40,160,1,0.3,1.734991,14.6
propuesta,0,4,50,200,1,0.3,1.734991,18.9
propuesta,0,6,10,60,1,0.3,1.734991,5.5
propuesta,0,6,20,120,1,0.3,1.734991,11.3
propuesta,0,6,30,180,1,0.3,1.734991,16.8
propuesta,0,6,40,240,1,0.3,1.734991,21.9
propuesta,0,6,50,300,1,0.3,1.734991,25.2
propuesta,0,8,10,80,25,0.3,1.705696,6.8
propuesta,0,8,20,160,1,0.3,1.734991,13.0
propuesta,0,8,30,240,25,0.3,1.705696,19.7
propuesta,0,8,40,320,25,0.3,1.705696,25.9
propuesta,0,8,50,400,1,0.3,1.734991,35.6
propuesta,0,10,10,100,25,0.3,1.705696,8.4
propuesta,0,10,20,200,1,0.3,1.734991,16.6
propuesta,0,10,30,300,1,0.3,1.734991,24.0
propuesta,0,10,40,400,25,0.3,1.705696,32.3
propuesta,0,10,50,500,25,0.3,1.705696,41.5
