operador,repeticion,n,Tmax,evaluaciones,r_opt,m_opt,Fo_opt,segundos
propuesta,0,2,10,20,9,0.052787,1.766124,2.7
propuesta,0,2,20,40,1,0.01,1.759293,5.5
propuesta,0,2,30,60,24,0.071292,1.77118,8.5
propuesta,0,2,40,80,1,0.01,1.759293,7.4
propuesta,0,2,50,100,3,0.051524,1.762276,9.0
propuesta,0,4,10,40,19,0.01,1.761434,5.2
propuesta,0,4,20,80,23,0.069636,1.770935,7.0
propuesta,0,4,30,120,25,0.01,1.761731,9.6
propuesta,0,4,40,160,25,0.070874,1.771477,12.8
propuesta,0,4,50,200,23,0.068733,1.770941,16.7
propuesta,0,6,10,60,1,0.01,1.759293,4.8
propuesta,0,6,20,120,4,0.053128,1.763162,9.9
propuesta,0,6,30,180,25,0.01,1.761731,20.0
propuesta,0,6,40,240,25,0.070959,1.771479,19.7
propuesta,0,6,50,300,1,0.061146,1.760749,24.5
propuesta,0,8,10,80,25,0.070871,1.771477,6.7
propuesta,0,8,20,160,1,0.058532,1.760748,14.5
propuesta,0,8,30,240,25,0.070935,1.771479,19.4
propuesta,0,8,40,320,25,0.070934,1.771479,25.9
propuesta,0,8,50,400,25,0.070931,1.77148,31.6
propuesta,0,10,10,100,25,0.073095,1.771468,7.9
propuesta,0,10,20,200,25,0.071345,1.771476,15.6
propuesta,0,10,30,300,25,0.070964,1.771479,23.2
propuesta,0,10,40,400,25,0.070942,1.771479,33.6
propuesta,0,10,50,500,25,0.070933,1.77148,43.9
propuesta,1,2,10,20,22,0.01,1.761601,1.5
propuesta,1,2,20,40,21,0.068765,1.770499,3.2
propuesta,1,2,30,60,25,0.070944,1.771479,4.7
propuesta,1,2,40,80,25,0.071369,1.771477,6.8
propuesta,1,2,50,100,25,0.070997,1.771479,8.0
propuesta,1,4,10,40,23,0.078106,1.770777,3.2
propuesta,1,4,20,80,25,0.070984,1.771479,8.3
propuesta,1,4,30,120,25,0.070887,1.771477,10.7
propuesta,1,4,40,160,25,0.070936,1.771479,15.3
propuesta,1,4,50,200,25,0.070938,1.771479,16.7
propuesta,1,6,10,60,9,0.069101,1.766064,5.7
propuesta,1,6,20,120,25,0.01,1.761731,10.9
propuesta,1,6,30,180,25,0.01,1.761731,14.5
propuesta,1,6,40,240,5,0.055113,1.764055,19.0
propuesta,1,6,50,300,25,0.070931,1.77148,23.1
propuesta,1,8,10,80,25,0.060973,1.771226,6.3
propuesta,1,8,20,160,25,0.07091,1.771477,12.7
propuesta,1,8,30,240,25,0.070951,1.771479,19.4
propuesta,1,8,40,320,25,0.070944,1.771479,26.2
propuesta,1,8,50,400,25,0.01,1.761731,31.9
propuesta,1,10,10,100,13,0.065874,1.768032,7.7
propuesta,1,10,20,200,25,0.070717,1.771474,15.6
propuesta,1,10,30,300,25,0.070938,1.771479,26.2
propuesta,1,10,40,400,25,0.07098,1.771479,41.2
propuesta,1,10,50,500,25,0.07093,1.771479,62.1
propuesta,2,2,10,20,3,0.049291,1.76226,2.5
propuesta,2,2,20,40,1,0.06026,1.760745,4.4
propuesta,2,2,30,60,25,0.01,1.761731,6.8
propuesta,2,2,40,80,25,0.070932,1.771479,8.4
propuesta,2,2,50,100,1,0.01,1.759293,10.6
propuesta,2,4,10,40,25,0.073385,1.771464,4.8
propuesta,2,4,20,80,24,0.071328,1.771179,9.4
propuesta,2,4,30,120,1,0.061082,1.760749,13.9
propuesta,2,4,40,160,25,0.070965,1.771479,18.5
propuesta,2,4,50,200,25,0.070951,1.771479,25.4
propuesta,2,6,10,60,1,0.064191,1.760733,7.4
propuesta,2,6,20,120,25,0.01,1.761731,13.7
propuesta,2,6,30,180,25,0.070901,1.771477,19.7
propuesta,2,6,40,240,25,0.070956,1.771479,27.3
propuesta,2,6,50,300,25,0.070932,1.771479,31.7
propuesta,2,8,10,80,25,0.074467,1.77145,9.2
propuesta,2,8,20,160,23,0.06457,1.770865,20.5
propuesta,2,8,30,240,25,0.071361,1.771476,28.1
propuesta,2,8,40,320,25,0.07093,1.771479,37.4
propuesta,2,8,50,400,25,0.070944,1.771479,47.3
propuesta,2,10,10,100,24,0.048929,1.770005,10.3
propuesta,2,10,20,200,16,0.058799,1.768924,20.0
propuesta,2,10,30,300,25,0.071002,1.771478,28.3
propuesta,2,10,40,400,25,0.07098,1.771479,39.2
propuesta,2,10,50,500,25,0.070933,1.771479,42.9
propuesta,3,2,10,20,14,0.01,1.761125,1.8
propuesta,3,2,20,40,1,0.063597,1.760737,3.7
propuesta,3,2,30,60,25,0.01,1.761731,5.4
propuesta,3,2,40,80,1,0.058311,1.760748,8.9
propuesta,3,2,50,100,25,0.01,1.761731,10.0
propuesta,3,4,10,40,25,0.01,1.761731,4.2
propuesta,3,4,20,80,25,0.07148,1.771476,8.3
propuesta,3,4,30,120,25,0.070899,1.771477,12.3
propuesta,3,4,40,160,25,0.070928,1.771479,14.0
propuesta,3,4,50,200,25,0.070924,1.771478,18.7
propuesta,3,6,10,60,25,0.01,1.761731,5.5
propuesta,3,6,20,120,25,0.070924,1.771478,10.8
propuesta,3,6,30,180,25,0.070994,1.771478,14.9
propuesta,3,6,40,240,25,0.070936,1.771479,18.9
propuesta,3,6,50,300,25,0.070944,1.771479,22.1
propuesta,3,8,10,80,25,0.075163,1.771436,5.9
propuesta,3,8,20,160,25,0.071275,1.771475,11.8
propuesta,3,8,30,240,25,0.07098,1.771479,17.8
propuesta,3,8,40,320,25,0.01,1.761731,23.8
propuesta,3,8,50,400,25,0.070936,1.771479,29.5
propuesta,3,10,10,100,25,0.074603,1.771445,7.4
propuesta,3,10,20,200,25,0.071365,1.771477,17.4
propuesta,3,10,30,300,25,0.070967,1.771479,26.8
propuesta,3,10,40,400,25,0.070933,1.771479,36.9
propuesta,3,10,50,500,25,0.070933,1.77148,44.3
propuesta,4,2,10,20,22,0.01,1.761601,1.7
propuesta,4,2,20,40,17,0.01,1.761316,3.3
propuesta,4,2,30,60,25,0.01,1.761731,4.9
propuesta,4,2,40,80,18,0.06825,1.769723,6.7
propuesta,4,2,50,100,25,0.070944,1.771479,8.4
propuesta,4,4,10,40,16,0.062108,1.768986,3.3
propuesta,4,4,20,80,21,0.067561,1.770495,6.2
propuesta,4,4,30,120,25,0.070934,1.771479,9.5
propuesta,4,4,40,160,25,0.07098,1.771479,12.6
propuesta,4,4,50,200,25,0.070933,1.771479,15.4
propuesta,4,6,10,60,9,0.058629,1.766235,4.6
propuesta,4,6,20,120,25,0.07095,1.771479,9.5
propuesta,4,6,30,180,25,0.070931,1.77148,13.8
propuesta,4,6,40,240,25,0.070957,1.771479,18.7
propuesta,4,6,50,300,25,0.070949,1.771479,22.8
propuesta,4,8,10,80,25,0.067523,1.771437,6.2
propuesta,4,8,20,160,25,0.07098,1.771479,12.1
propuesta,4,8,30,240,25,0.071013,1.771478,18.5
propuesta,4,8,40,320,25,0.070942,1.771479,24.5
propuesta,4,8,50,400,25,0.01,1.761731,31.1
propuesta,4,10,10,100,16,0.045608,1.768032,7.7
propuesta,4,10,20,200,25,0.01,1.761731,15.4
propuesta,4,10,30,300,25,0.070957,1.771479,23.0
propuesta,4,10,40,400,25,0.01,1.761731,31.1
propuesta,4,10,50,500,25,0.01,1.761731,38.5
propuesta,5,2,10,20,25,0.07091,1.771477,1.6
propuesta,5,2,20,40,1,0.060871,1.760747,3.2
propuesta,5,2,30,60,25,0.073391,1.771465,4.8
propuesta,5,2,40,80,25,0.01,1.761731,6.2
propuesta,5,2,50,100,25,0.07093,1.771479,7.6
propuesta,5,4,10,40,16,0.041431,1.767562,3.0
propuesta,5,4,20,80,11,0.062628,1.767325,6.0
propuesta,5,4,30,120,25,0.070973,1.771479,9.1
propuesta,5,4,40,160,25,0.071005,1.771478,12.2
propuesta,5,4,50,200,25,0.01,1.761731,15.3
propuesta,5,6,10,60,20,0.048586,1.769246,4.5
propuesta,5,6,20,120,25,0.070969,1.771478,9.1
propuesta,5,6,30,180,25,0.01,1.761731,13.7
propuesta,5,6,40,240,25,0.01,1.761731,18.3
propuesta,5,6,50,300,25,0.01,1.761731,24.5
propuesta,5,8,10,80,18,0.070096,1.769693,6.5
propuesta,5,8,20,160,20,0.067128,1.770216,13.3
propuesta,5,8,30,240,25,0.07095,1.771479,21.2
propuesta,5,8,40,320,25,0.070935,1.771479,27.8
propuesta,5,8,50,400,25,0.07093,1.771479,32.6
propuesta,5,10,10,100,25,0.071016,1.771477,7.3
propuesta,5,10,20,200,25,0.071476,1.771476,14.5
propuesta,5,10,30,300,25,0.070925,1.771478,21.8
propuesta,5,10,40,400,25,0.070935,1.771479,29.5
propuesta,5,10,50,500,25,0.070931,1.77148,40.0
propuesta,6,2,10,20,25,0.01,1.761731,1.5
propuesta,6,2,20,40,21,0.069149,1.770498,3.7
propuesta,6,2,30,60,19,0.068326,1.769956,4.7
propuesta,6,2,40,80,3,0.05145,1.762276,6.5
propuesta,6,2,50,100,25,0.070935,1.771479,7.9
propuesta,6,4,10,40,1,0.01,1.759293,3.7
propuesta,6,4,20,80,25,0.01,1.761731,7.3
propuesta,6,4,30,120,25,0.01,1.761731,10.7
propuesta,6,4,40,160,25,0.01,1.761731,14.3
propuesta,6,4,50,200,25,0.01,1.761731,16.8
propuesta,6,6,10,60,24,0.056923,1.770722,4.9
propuesta,6,6,20,120,25,0.01,1.761731,9.6
propuesta,6,6,30,180,25,0.070765,1.771475,13.7
propuesta,6,6,40,240,25,0.070944,1.771479,19.3
propuesta,6,6,50,300,25,0.07093,1.77148,23.4
propuesta,6,8,10,80,17,0.063103,1.769355,5.9
propuesta,6,8,20,160,25,0.07114,1.771475,11.8
propuesta,6,8,30,240,25,0.070931,1.77148,17.5
propuesta,6,8,40,320,25,0.070934,1.771479,24.1
propuesta,6,8,50,400,25,0.01,1.761731,37.5
propuesta,6,10,10,100,25,0.070006,1.771464,9.1
propuesta,6,10,20,200,25,0.070889,1.771476,18.7
propuesta,6,10,30,300,25,0.070932,1.771479,28.6
propuesta,6,10,40,400,25,0.01,1.761731,34.9
propuesta,6,10,50,500,25,0.070931,1.77148,47.3
propuesta,7,2,10,20,9,0.088008,1.764691,1.8
propuesta,7,2,20,40,13,0.064241,1.768042,3.1
propuesta,7,2,30,60,1,0.058172,1.760749,4.8
propuesta,7,2,40,80,7,0.058141,1.765237,6.7
propuesta,7,2,50,100,1,0.059905,1.760748,8.3
propuesta,7,4,10,40,6,0.064482,1.76442,3.4
propuesta,7,4,20,80,17,0.066029,1.769391,6.8
propuesta,7,4,30,120,3,0.051514,1.762276,10.9
propuesta,7,4,40,160,1,0.01,1.759293,12.5
propuesta,7,4,50,200,2,0.01,1.759561,16.2
propuesta,7,6,10,60,25,0.01,1.761731,4.9
propuesta,7,6,20,120,25,0.071347,1.771476,9.6
propuesta,7,6,30,180,25,0.070962,1.771479,13.8
propuesta,7,6,40,240,25,0.070937,1.771479,18.3
propuesta,7,6,50,300,25,0.07094,1.771479,23.2
propuesta,7,8,10,80,17,0.060094,1.769282,6.0
propuesta,7,8,20,160,25,0.01,1.761731,12.1
propuesta,7,8,30,240,25,0.01,1.761731,19.4
propuesta,7,8,40,320,25,0.070934,1.771479,30.1
propuesta,7,8,50,400,25,0.070931,1.77148,33.1
propuesta,7,10,10,100,25,0.070979,1.771479,8.0
propuesta,7,10,20,200,24,0.029968,1.766905,15.0
propuesta,7,10,30,300,25,0.070944,1.771479,23.6
propuesta,7,10,40,400,25,0.070931,1.77148,32.7
propuesta,7,10,50,500,25,0.01,1.761731,40.0
propuesta,8,2,10,20,25,0.01,1.761731,1.6
propuesta,8,2,20,40,25,0.071612,1.771474,3.2
propuesta,8,2,30,60,12,0.063419,1.767632,4.8
propuesta,8,2,40,80,7,0.05819,1.765237,6.4
propuesta,8,2,50,100,25,0.01,1.761731,8.0
propuesta,8,4,10,40,1,0.022085,1.759801,3.3
propuesta,8,4,20,80,1,0.01,1.759293,6.4
propuesta,8,4,30,120,1,0.059915,1.760748,9.6
propuesta,8,4,40,160,25,0.01,1.761731,12.8
propuesta,8,4,50,200,25,0.01,1.761731,15.9
propuesta,8,6,10,60,3,0.043253,1.762161,4.9
propuesta,8,6,20,120,25,0.070919,1.771478,9.7
propuesta,8,6,30,180,25,0.070968,1.771479,14.6
propuesta,8,6,40,240,25,0.01,1.761731,18.9
propuesta,8,6,50,300,25,0.07093,1.77148,23.5
propuesta,8,8,10,80,22,0.077689,1.770611,6.7
propuesta,8,8,20,160,25,0.071337,1.771475,12.4
propuesta,8,8,30,240,25,0.070936,1.771479,19.6
propuesta,8,8,40,320,25,0.070932,1.771479,26.0
propuesta,8,8,50,400,25,0.070942,1.771479,33.5
propuesta,8,10,10,100,12,0.049395,1.767201,8.4
propuesta,8,10,20,200,25,0.071143,1.771474,16.2
propuesta,8,10,30,300,25,0.070937,1.771479,22.8
propuesta,8,10,40,400,25,0.07094,1.771479,29.8
propuesta,8,10,50,500,25,0.070932,1.771479,37.2
propuesta,9,2,10,20,22,0.066921,1.770744,1.4
propuesta,9,2,20,40,16,0.014488,1.762471,3.0
propuesta,9,2,30,60,23,0.068651,1.770939,4.5
propuesta,9,2,40,80,20,0.068634,1.770228,5.9
propuesta,9,2,50,100,1,0.01,1.759293,7.5
propuesta,9,4,10,40,25,0.01,1.761731,3.0
propuesta,9,4,20,80,25,0.01,1.761731,5.9
propuesta,9,4,30,120,1,0.061151,1.760749,8.8
propuesta,9,4,40,160,25,0.01,1.761731,12.3
propuesta,9,4,50,200,25,0.070932,1.771479,20.3
propuesta,9,6,10,60,24,0.069018,1.771168,5.7
propuesta,9,6,20,120,25,0.070881,1.771477,10.1
propuesta,9,6,30,180,25,0.071018,1.771477,14.0
propuesta,9,6,40,240,25,0.070931,1.77148,17.9
propuesta,9,6,50,300,25,0.070934,1.771479,23.2
propuesta,9,8,10,80,12,0.058724,1.767592,6.3
propuesta,9,8,20,160,24,0.071237,1.77118,12.7
propuesta,9,8,30,240,25,0.070979,1.771479,18.8
propuesta,9,8,40,320,25,0.070949,1.771479,25.6
propuesta,9,8,50,400,25,0.07093,1.77148,34.4
propuesta,9,10,10,100,25,0.062048,1.771261,8.6
propuesta,9,10,20,200,25,0.070963,1.771479,17.3
propuesta,9,10,30,300,25,0.070966,1.771479,23.4
propuesta,9,10,40,400,25,0.01,1.761731,29.3
propuesta,9,10,50,500,25,0.07093,1.77148,40.5
propuesta,10,2,10,20,10,0.251978,1.716937,1.7
propuesta,10,2,20,40,1,0.058315,1.760748,3.2
propuesta,10,2,30,60,25,0.01,1.761731,4.9
propuesta,10,2,40,80,25,0.01,1.761731,6.7
propuesta,10,2,50,100,18,0.066132,1.769724,7.5
propuesta,10,4,10,40,20,0.06736,1.770218,2.9
propuesta,10,4,20,80,25,0.059817,1.771151,6.6
propuesta,10,4,30,120,25,0.01,1.761731,9.9
propuesta,10,4,40,160,25,0.070998,1.771479,12.7
propuesta,10,4,50,200,25,0.070939,1.771479,15.9
propuesta,10,6,10,60,24,0.072301,1.771166,5.0
propuesta,10,6,20,120,19,0.058504,1.769762,9.6
propuesta,10,6,30,180,25,0.07098,1.771479,14.0
propuesta,10,6,40,240,25,0.01,1.761731,18.3
propuesta,10,6,50,300,25,0.070934,1.771479,23.4
propuesta,10,8,10,80,6,0.01,1.760245,9.2
propuesta,10,8,20,160,25,0.071205,1.771475,15.3
propuesta,10,8,30,240,25,0.01,1.761731,20.3
propuesta,10,8,40,320,25,0.07098,1.771479,25.0
propuesta,10,8,50,400,25,0.070941,1.771479,29.8
propuesta,10,10,10,100,23,0.071924,1.770923,7.3
propuesta,10,10,20,200,25,0.070937,1.771479,14.7
propuesta,10,10,30,300,25,0.070945,1.771479,22.1
propuesta,10,10,40,400,20,0.065732,1.770207,29.6
propuesta,10,10,50,500,25,0.01,1.761731,37.1
propuesta,11,2,10,20,25,0.066335,1.77142,1.5
propuesta,11,2,20,40,13,0.063308,1.768048,3.1
propuesta,11,2,30,60,7,0.051447,1.765143,4.5
propuesta,11,2,40,80,21,0.068206,1.770502,6.1
propuesta,11,2,50,100,1,0.058166,1.760749,7.3
propuesta,11,4,10,40,21,0.078833,1.770271,3.0
propuesta,11,4,20,80,25,0.071372,1.771476,6.0
propuesta,11,4,30,120,1,0.01,1.759293,8.9
propuesta,11,4,40,160,25,0.01,1.761731,11.8
propuesta,11,4,50,200,25,0.070956,1.771479,14.6
propuesta,11,6,10,60,25,0.01,1.761731,4.4
