n,Tmax,Fo_media,Fo_min,Fo_max,Fo_desv,r_moda,pct_r1,pct_piso,corridas
2,10,1.7078,1.6704,1.735,0.016,25,20.0,95.0,20
2,20,1.7197,1.699,1.735,0.0157,1,50.0,100.0,20
2,30,1.7154,1.698,1.735,0.0148,25,35.0,100.0,20
2,40,1.716,1.7044,1.735,0.0143,25,35.0,100.0,20
2,50,1.7186,1.7002,1.735,0.0153,25,45.0,100.0,20
4,10,1.7189,1.7057,1.735,0.015,25,45.0,100.0,20
4,20,1.7189,1.7057,1.735,0.015,25,45.0,100.0,20
4,30,1.7203,1.7057,1.735,0.015,1,50.0,100.0,20
4,40,1.713,1.7057,1.735,0.013,25,25.0,100.0,20
4,50,1.7218,1.7057,1.735,0.015,1,55.0,100.0,20
6,10,1.7189,1.7057,1.735,0.015,25,45.0,100.0,20
6,20,1.7174,1.7057,1.735,0.0147,25,40.0,100.0,20
6,30,1.7145,1.7057,1.735,0.0138,25,30.0,100.0,20
6,40,1.7189,1.7057,1.735,0.015,25,45.0,100.0,20
6,50,1.7233,1.7057,1.735,0.0147,1,60.0,100.0,20
8,10,1.7203,1.7057,1.735,0.015,1,50.0,100.0,20
8,20,1.7247,1.7057,1.735,0.0143,1,65.0,100.0,20
8,30,1.7174,1.7057,1.735,0.0147,25,40.0,100.0,20
8,40,1.7233,1.7057,1.735,0.0147,1,60.0,100.0,20
8,50,1.7203,1.7057,1.735,0.015,1,50.0,100.0,20
10,10,1.7233,1.7057,1.735,0.0147,1,60.0,100.0,20
10,20,1.7233,1.7057,1.735,0.0147,1,60.0,100.0,20
10,30,1.7174,1.7057,1.735,0.0147,25,40.0,100.0,20
10,40,1.7159,1.7057,1.735,0.0143,25,35.0,100.0,20
10,50,1.7218,1.7057,1.735,0.015,1,55.0,100.0,20
