n,Tmax,Fo_media,Fo_min,Fo_max,Fo_desv,r_moda,pct_r1,pct_piso,corridas
2,10,1.7619,1.7169,1.7715,0.0113,25,10.0,45.0,20
2,20,1.7647,1.7593,1.7715,0.0046,1,35.0,25.0,20
2,30,1.7667,1.7607,1.7715,0.0043,25,10.0,25.0,20
2,40,1.7673,1.7593,1.7715,0.0045,25,10.0,20.0,20
2,50,1.7654,1.7593,1.7715,0.0052,25,25.0,40.0,20
4,10,1.7654,1.7593,1.7715,0.0043,25,10.0,35.0,20
4,20,1.7667,1.7593,1.7715,0.0049,25,10.0,40.0,20
4,30,1.7653,1.7593,1.7715,0.0052,25,25.0,35.0,20
4,40,1.7672,1.7593,1.7715,0.0052,25,10.0,40.0,20
4,50,1.7673,1.7596,1.7715,0.0052,25,15.0,25.0,20
6,10,1.7662,1.7593,1.7715,0.0043,25,10.0,25.0,20
6,20,1.7686,1.7617,1.7715,0.0043,25,0.0,20.0,20
6,30,1.7686,1.7617,1.7715,0.0046,25,0.0,30.0,20
6,40,1.7682,1.7617,1.7715,0.0046,25,0.0,30.0,20
6,50,1.768,1.7607,1.7715,0.0049,25,10.0,25.0,20
8,10,1.7694,1.7602,1.7715,0.0031,25,0.0,10.0,20
8,20,1.7693,1.7607,1.7715,0.0042,25,10.0,10.0,20
8,30,1.7705,1.7617,1.7715,0.003,25,0.0,10.0,20
8,40,1.7705,1.7617,1.7715,0.003,25,0.0,10.0,20
8,50,1.77,1.7617,1.7715,0.0036,25,0.0,15.0,20
10,10,1.7698,1.7607,1.7715,0.0026,25,5.0,0.0,20
10,20,1.7706,1.7617,1.7715,0.0024,25,0.0,5.0,20
10,30,1.7709,1.7617,1.7715,0.0022,25,0.0,5.0,20
10,40,1.77,1.7617,1.7715,0.0036,25,0.0,15.0,20
10,50,1.77,1.7617,1.7715,0.0036,25,0.0,15.0,20
