escena,particulas,iteraciones,r,m,SSIM_avg,E_n,SF,SD,PSNR_n,Fo
Kaptein,2,10,12,1.304,0.42801,0.897889,25.647317,47.670717,0.962985,2.288883
Kaptein,2,20,14,0.93,0.447209,0.884305,20.790369,44.334841,0.967156,2.29867
Kaptein,2,30,25,0.593,0.45052,0.886225,16.43311,45.277011,0.967885,2.30463
Kaptein,2,40,25,0.657,0.444935,0.893955,17.480892,47.402963,0.965888,2.304778
Kaptein,2,50,25,0.616,0.448634,0.889066,16.795852,46.020193,0.967205,2.304905
Kaptein,4,10,25,0.695,0.441484,0.897372,18.065359,48.601241,0.964687,2.303542
Kaptein,4,20,25,0.651,0.445472,0.893227,17.384715,47.209879,0.966077,2.304776
Kaptein,4,30,25,0.617,0.44853,0.889181,16.81349,46.05806,0.967168,2.304879
Kaptein,4,40,25,0.623,0.447897,0.890054,16.923662,46.283019,0.966958,2.304909
Kaptein,4,50,25,0.621,0.448123,0.889776,16.887733,46.209014,0.967029,2.304928
Kaptein,6,10,25,0.621,0.448123,0.889776,16.887733,46.209014,0.967029,2.304928
Kaptein,6,20,25,0.621,0.448108,0.889791,16.889874,46.212351,0.967026,2.304924
Kaptein,6,30,25,0.645,0.445994,0.892377,17.268266,46.983309,0.966291,2.304662
Kaptein,6,40,25,0.616,0.448634,0.889066,16.795852,46.020193,0.967205,2.304905
Kaptein,6,50,25,0.621,0.448138,0.889775,16.886047,46.205458,0.967033,2.304946
Kaptein,8,10,16,0.74,0.454105,0.877489,18.24533,42.817851,0.969053,2.300648
Kaptein,8,20,25,0.621,0.448096,0.889811,16.892084,46.218346,0.96702,2.304927
Kaptein,8,30,25,0.62,0.448266,0.889546,16.864967,46.162589,0.967074,2.304886
Kaptein,8,40,25,0.621,0.448138,0.889775,16.886047,46.205458,0.967033,2.304946
Kaptein,8,50,25,0.619,0.448307,0.889537,16.859954,46.151384,0.967085,2.304929
Kaptein,10,10,25,0.623,0.447897,0.890054,16.923662,46.283019,0.966958,2.304909
Kaptein,10,20,25,0.621,0.448138,0.889775,16.886047,46.205458,0.967033,2.304946
Kaptein,10,30,25,0.617,0.448561,0.889127,16.807122,46.044624,0.967181,2.30487
Kaptein,10,40,25,0.62,0.448196,0.88966,16.875901,46.184649,0.967053,2.304909
Kaptein,10,50,25,0.616,0.448634,0.889066,16.795852,46.020193,0.967205,2.304905
Marne 04,2,10,25,1.365,0.307299,0.939572,17.309771,52.15719,0.942111,2.188981
Marne 04,2,20,25,1.127,0.311785,0.934947,15.138199,47.148386,0.947751,2.194483
Marne 04,2,30,23,1.171,0.309335,0.929079,15.47732,45.804839,0.948826,2.187239
Marne 04,2,40,23,1.211,0.30873,0.930409,15.856127,46.636957,0.947969,2.187108
Marne 04,2,50,25,1.146,0.311503,0.935716,15.314533,47.568586,0.947311,2.19453
Marne 04,4,10,20,2.0,0.293404,0.927092,22.317577,52.782833,0.939817,2.160313
Marne 04,4,20,25,1.169,0.311136,0.936536,15.531877,48.084315,0.946764,2.194437
Marne 04,4,30,25,1.154,0.311376,0.93611,15.411113,47.789405,0.94708,2.194566
Marne 04,4,40,25,1.163,0.311219,0.936527,15.492229,48.006866,0.946848,2.194594
Marne 04,4,50,25,1.158,0.311325,0.936344,15.451828,47.891519,0.946973,2.194642
Marne 04,6,10,25,1.146,0.311499,0.93575,15.319117,47.584754,0.947296,2.194545
Marne 04,6,20,25,1.16,0.311288,0.936375,15.464279,47.922892,0.946939,2.194602
Marne 04,6,30,25,1.164,0.31119,0.936573,15.498739,48.026259,0.946826,2.194589
Marne 04,6,40,25,1.154,0.311376,0.93611,15.411109,47.789398,0.94708,2.194566
Marne 04,6,50,25,1.135,0.311655,0.935349,15.223829,47.347776,0.947543,2.194547
Marne 04,8,10,25,1.118,0.311929,0.93462,15.058938,46.976484,0.94793,2.194478
Marne 04,8,20,25,1.159,0.311301,0.936388,15.461994,47.914058,0.946948,2.194638
Marne 04,8,30,25,1.164,0.311198,0.93654,15.496837,48.019677,0.946833,2.194571
Marne 04,8,40,25,1.143,0.311551,0.935692,15.305457,47.533113,0.94735,2.194593
Marne 04,8,50,25,1.159,0.311292,0.93638,15.463437,47.91976,0.946942,2.194614
Marne 04,10,10,25,1.112,0.312034,0.934288,14.994063,46.815205,0.948099,2.194421
Marne 04,10,20,25,1.161,0.311261,0.936472,15.477555,47.970592,0.946888,2.194621
Marne 04,10,30,25,1.144,0.311549,0.935697,15.30562,47.534115,0.947349,2.194595
Marne 04,10,40,25,1.159,0.31131,0.936349,15.455344,47.902998,0.94696,2.194619
Marne 04,10,50,25,1.159,0.3113,0.936389,15.462083,47.914448,0.946948,2.194637
