m,pct_saturado_medio,pct_saturado_min,pct_saturado_max,pct_bajo_cero,pct_sobre_uno
0.05,0.0311,0.0,0.3,0.0,0.031
0.1,0.0628,0.0,0.4872,0.008,0.0548
0.2,0.3049,0.0,1.1251,0.1299,0.175
0.3,0.7271,0.0,1.5553,0.3348,0.3923
0.5,1.8969,0.0011,5.3535,0.6705,1.2264
0.75,3.7395,0.1274,10.2869,1.4148,2.3247
1.0,6.4996,0.5673,16.1443,2.9018,3.5978
1.25,10.0764,1.2619,21.6171,4.9316,5.1448
1.5,13.9652,2.0796,26.541,7.1774,6.7878
1.75,17.8576,2.9073,31.1074,9.4358,8.4218
2.0,21.6166,3.5648,35.4935,11.6292,9.9875
