a,b,media_a,media_b,dif_media,gana_a_en,de,p_wilcoxon,p_holm,sig_holm,mayor_que_el_ruido
Curvelet,DTCWT,0.9259,0.9365,-0.0106,1,5,0.125,1.0,False,False
Curvelet,DWT,0.9259,0.9183,0.0076,3,5,0.625,1.0,False,False
Curvelet,IR,0.9259,0.9611,-0.0352,0,5,0.0625,1.0,False,True
Curvelet,PiramideLaplace,0.9259,0.9517,-0.0258,0,5,0.0625,1.0,False,True
Curvelet,Propuesta_Novedosa,0.9259,0.9283,-0.0024,2,5,0.8125,1.0,False,False
Curvelet,RatioPiramide,0.9259,0.9043,0.0216,5,5,0.0625,1.0,False,True
Curvelet,TopHat_Clasico,0.9259,0.9234,0.0025,2,5,1.0,1.0,False,False
Curvelet,VIS,0.9259,0.7951,0.1308,5,5,0.0625,1.0,False,True
DTCWT,DWT,0.9365,0.9183,0.0182,4,5,0.125,1.0,False,True
DTCWT,IR,0.9365,0.9611,-0.0246,0,5,0.0625,1.0,False,True
DTCWT,PiramideLaplace,0.9365,0.9517,-0.0152,0,5,0.0625,1.0,False,True
DTCWT,Propuesta_Novedosa,0.9365,0.9283,0.0082,3,5,0.625,1.0,False,False
DTCWT,RatioPiramide,0.9365,0.9043,0.0322,5,5,0.0625,1.0,False,True
DTCWT,TopHat_Clasico,0.9365,0.9234,0.0131,5,5,0.0625,1.0,False,True
DTCWT,VIS,0.9365,0.7951,0.1415,5,5,0.0625,1.0,False,True
DWT,IR,0.9183,0.9611,-0.0428,0,5,0.0625,1.0,False,True
DWT,PiramideLaplace,0.9183,0.9517,-0.0334,0,5,0.0625,1.0,False,True
DWT,Propuesta_Novedosa,0.9183,0.9283,-0.01,1,5,0.4375,1.0,False,False
DWT,RatioPiramide,0.9183,0.9043,0.014,4,5,0.625,1.0,False,True
DWT,TopHat_Clasico,0.9183,0.9234,-0.0051,3,5,1.0,1.0,False,False
DWT,VIS,0.9183,0.7951,0.1233,5,5,0.0625,1.0,False,True
IR,PiramideLaplace,0.9611,0.9517,0.0094,3,5,0.3125,1.0,False,False
IR,Propuesta_Novedosa,0.9611,0.9283,0.0328,5,5,0.0625,1.0,False,True
IR,RatioPiramide,0.9611,0.9043,0.0568,5,5,0.0625,1.0,False,True
IR,TopHat_Clasico,0.9611,0.9234,0.0377,5,5,0.0625,1.0,False,True
IR,VIS,0.9611,0.7951,0.1661,5,5,0.0625,1.0,False,True
PiramideLaplace,Propuesta_Novedosa,0.9517,0.9283,0.0234,5,5,0.0625,1.0,False,True
PiramideLaplace,RatioPiramide,0.9517,0.9043,0.0474,5,5,0.0625,1.0,False,True
PiramideLaplace,TopHat_Clasico,0.9517,0.9234,0.0283,5,5,0.0625,1.0,False,True
PiramideLaplace,VIS,0.9517,0.7951,0.1567,5,5,0.0625,1.0,False,True
Propuesta_Novedosa,RatioPiramide,0.9283,0.9043,0.024,5,5,0.0625,1.0,False,True
Propuesta_Novedosa,TopHat_Clasico,0.9283,0.9234,0.0049,4,5,0.625,1.0,False,False
Propuesta_Novedosa,VIS,0.9283,0.7951,0.1333,5,5,0.0625,1.0,False,True
RatioPiramide,TopHat_Clasico,0.9043,0.9234,-0.0191,0,5,0.0625,1.0,False,True
RatioPiramide,VIS,0.9043,0.7951,0.1093,5,5,0.0625,1.0,False,True
TopHat_Clasico,VIS,0.9234,0.7951,0.1284,5,5,0.0625,1.0,False,True
