r,m,Fo
1,0.3,1.7191178563437453
1,0.4,1.7009840363581104
1,0.5,1.680211922509475
1,0.6,1.6579851125079894
1,0.7,1.6352013477594387
1,0.8,1.6124963199452562
1,0.9,1.5903422567564318
1,1.0,1.5688002254974929
1,1.1,1.5486799579136898
1,1.2,1.5294283804555358
1,1.3,1.5113477051658268
1,1.4,1.4943634492275049
1,1.5,1.4784756792010636
1,1.6,1.4636690655167393
1,1.7,1.4498451612849026
1,1.8,1.4368976924320709
1,1.9,1.4247868646995059
1,2.0,1.4135085281801254
3,0.3,1.693371889655119
3,0.4,1.660483586243128
3,0.5,1.6268032754308182
3,0.6,1.5942610394460563
3,0.7,1.563654217032844
3,0.8,1.535434513896977
3,0.9,1.5097753174062232
3,1.0,1.4864561745219975
3,1.1,1.465642953726191
3,1.2,1.446698049430263
3,1.3,1.4296356651043258
3,1.4,1.4141451676091463
3,1.5,1.3999374199584687
3,1.6,1.3868920145645365
3,1.7,1.3748622132532453
3,1.8,1.363610250695542
3,1.9,1.3530932519626608
3,2.0,1.343164408578111
5,0.3,1.6828372117197645
5,0.4,1.6447438938753465
5,0.5,1.607295946661741
5,0.6,1.5722662766387898
5,0.7,1.5402140485818687
5,0.8,1.5113740373945266
5,0.9,1.4856353169938465
5,1.0,1.4625668241863192
5,1.1,1.4420511016894337
5,1.2,1.4234242984577552
5,1.3,1.4064506191261117
5,1.4,1.3908517956468185
5,1.5,1.3763760885597272
5,1.6,1.362712702720283
5,1.7,1.3497927895660988
5,1.8,1.33755914590541
5,1.9,1.325633441936132
5,2.0,1.3142785927424725
7,0.3,1.6802022753767687
7,0.4,1.64053820119945
7,0.5,1.6020381907180452
7,0.6,1.5662759402542197
7,0.7,1.5338053594681877
7,0.8,1.5046609755998042
7,0.9,1.4786554010098394
7,1.0,1.4552663771450083
7,1.1,1.434190426149784
7,1.2,1.4148059356317821
7,1.3,1.396879897566973
7,1.4,1.3802370276754805
7,1.5,1.3644757628825641
7,1.6,1.3494933084025407
7,1.7,1.3351714725642354
7,1.8,1.321246803744497
7,1.9,1.3078708474976182
7,2.0,1.2949744743713258
9,0.3,1.6799679091926822
9,0.4,1.63947704716763
9,0.5,1.6000711502429752
9,0.6,1.5638355709966534
9,0.7,1.5309310176777267
9,0.8,1.501369326398757
9,0.9,1.4747883823989936
9,1.0,1.45066832428172
9,1.1,1.4287315224261825
9,1.2,1.4083870402773944
9,1.3,1.3895217116800798
9,1.4,1.37182472643111
9,1.5,1.3549580031287238
9,1.6,1.3387202396127196
9,1.7,1.323120361020205
9,1.8,1.3079824237288245
9,1.9,1.2933855139686579
9,2.0,1.2793989921767444
11,0.3,1.6800503763033472
11,0.4,1.638951081326364
11,0.5,1.599220486464457
11,0.6,1.5623453762561184
11,0.7,1.5288687952036648
11,0.8,1.4986363265909037
11,0.9,1.4713067174869294
11,1.0,1.4463417466347288
11,1.1,1.423342842630489
11,1.2,1.401899578793173
11,1.3,1.381782645499868
11,1.4,1.362815602272211
11,1.5,1.3446051595944162
11,1.6,1.327053083578262
11,1.7,1.3101454695733674
11,1.8,1.2938466481387336
11,1.9,1.2780661435864884
11,2.0,1.2629175448025942
13,0.3,1.68074500649316
13,0.4,1.6394285856278399
13,0.5,1.5993179384878962
13,0.6,1.5621280917026727
13,0.7,1.5282756271927658
13,0.8,1.4975441602646302
13,0.9,1.4695629954399665
13,1.0,1.4439505769076766
13,1.1,1.4201491547666822
13,1.2,1.3978342195578846
13,1.3,1.3768342587007376
13,1.4,1.3568044135100488
13,1.5,1.3376392890933813
13,1.6,1.3192008068005452
13,1.7,1.3015350651338224
13,1.8,1.2844550087244886
13,1.9,1.2678665930954758
13,2.0,1.2520566643915325
15,0.3,1.6815373036808854
15,0.4,1.6398966793903254
15,0.5,1.5994616178379124
15,0.6,1.5618635569882915
15,0.7,1.5275754534980717
15,0.8,1.4962849994428062
15,0.9,1.4676862611830916
15,1.0,1.441205948394855
15,1.1,1.4164896429661455
15,1.2,1.3932195497047555
15,1.3,1.3712278839202945
15,1.4,1.3501962436722224
15,1.5,1.330152143112233
15,1.6,1.3109017295164012
15,1.7,1.2925433094056336
15,1.8,1.2746575090076897
15,1.9,1.257341578538236
15,2.0,1.2408236564624897
17,0.3,1.68257330499563
17,0.4,1.6407678116559083
17,0.5,1.6000992808260655
