metrica,rival,media_propuesta,media_rival,W,p,p_holm,rb,propuesta_mejor,significativo
EN,Promedio,6.5915,6.5178,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,True,True
EN,Método anterior (Torre disco L5),6.5915,6.7217,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
EN,Curvelet,6.5915,6.6645,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
EN,Pirámide de Laplace,6.5915,6.835,19.0,0.0005855560302734375,0.0005855560302734375,-0.82,False,True
SD,Promedio,0.1133,0.1092,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,True,True
SD,Pirámide de Laplace,0.1133,0.1548,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
SD,Método anterior (Torre disco L5),0.1133,0.1246,2.0,5.7220458984375e-06,1.1444091796875e-05,-0.98,False,True
SD,Curvelet,0.1133,0.1167,5.0,1.9073486328125e-05,1.9073486328125e-05,-0.95,False,True
FE,Promedio,1.041,1.029,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,True,True
FE,Método anterior (Torre disco L5),1.041,1.0618,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
FE,Curvelet,1.041,1.0529,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
FE,Pirámide de Laplace,1.041,1.0792,19.0,0.0005855560302734375,0.0005855560302734375,-0.82,False,True
MG,Promedio,0.0186,0.0144,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,True,True
MG,Método anterior (Torre disco L5),0.0186,0.0235,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
MG,Pirámide de Laplace,0.0186,0.0248,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
MG,Curvelet,0.0186,0.0256,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
MI_vis,Promedio,1.406,1.5119,5.0,1.9073486328125e-05,7.62939453125e-05,-0.95,False,True
MI_vis,Pirámide de Laplace,1.406,2.1183,20.0,0.0007076263427734375,0.0021228790283203125,-0.81,False,True
MI_vis,Curvelet,1.406,1.3038,20.0,0.0007076263427734375,0.0021228790283203125,0.81,True,True
MI_vis,Método anterior (Torre disco L5),1.406,1.3628,34.0,0.006389617919921875,0.006389617919921875,0.68,True,True
MI_ir,Promedio,0.9494,1.0637,0.0,1.9073486328125e-06,7.62939453125e-06,-1.0,False,True
MI_ir,Curvelet,0.9494,0.8843,20.0,0.0007076263427734375,0.0021228790283203125,0.81,True,True
MI_ir,Método anterior (Torre disco L5),0.9494,0.914,40.0,0.013616561889648438,0.027233123779296875,0.62,True,True
MI_ir,Pirámide de Laplace,0.9494,1.0717,56.0,0.069580078125,0.069580078125,-0.47,False,False
SF,Promedio,9.3115,7.112,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,True,True
SF,Método anterior (Torre disco L5),9.3115,11.9234,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
SF,Pirámide de Laplace,9.3115,13.04,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
SF,Curvelet,9.3115,13.151,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,False,True
Qabf,Promedio,0.4843,0.3098,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,True,True
Qabf,Curvelet,0.4843,0.4762,43.0,0.01923370361328125,0.05770111083984375,0.59,True,False
Qabf,Método anterior (Torre disco L5),0.4843,0.4583,73.0,0.24548721313476562,0.49097442626953125,-0.3,True,False
Qabf,Pirámide de Laplace,0.4843,0.4419,97.0,0.7841262817382812,0.7841262817382812,0.08,True,False
Nabf,Promedio,0.0298,0.0,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,False,True
Nabf,Método anterior (Torre disco L5),0.0298,0.1168,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,True,True
Nabf,Pirámide de Laplace,0.0298,0.108,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,True,True
Nabf,Curvelet,0.0298,0.1915,1.0,3.814697265625e-06,1.1444091796875e-05,-0.99,True,True
SSIM,Promedio,0.7851,0.7921,0.0,1.9073486328125e-06,7.62939453125e-06,-1.0,False,True
SSIM,Método anterior (Torre disco L5),0.7851,0.7392,1.0,3.814697265625e-06,1.1444091796875e-05,0.99,True,True
SSIM,Pirámide de Laplace,0.7851,0.7208,1.0,3.814697265625e-06,1.1444091796875e-05,0.99,True,True
SSIM,Curvelet,0.7851,0.7305,1.0,3.814697265625e-06,1.1444091796875e-05,0.99,True,True
SCD,Promedio,1.3969,1.3247,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,True,True
SCD,Curvelet,1.3969,1.3208,17.0,0.0003948211669921875,0.0011844635009765625,0.84,True,True
SCD,Método anterior (Torre disco L5),1.3969,1.4302,41.0,0.01531219482421875,0.0306243896484375,-0.61,False,True
SCD,Pirámide de Laplace,1.3969,1.3217,71.0,0.21616744995117188,0.21616744995117188,0.32,True,False
VIF,Promedio,0.3542,0.3305,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,True,True
VIF,Curvelet,0.3542,0.3067,0.0,1.9073486328125e-06,7.62939453125e-06,1.0,True,True
VIF,Pirámide de Laplace,0.3542,0.4101,7.0,3.62396240234375e-05,7.2479248046875e-05,-0.93,False,True
VIF,Método anterior (Torre disco L5),0.3542,0.3564,86.0,0.49800872802734375,0.49800872802734375,-0.18,False,False
