metric,tophat,baseline,mean_tophat,mean_baseline,diff,wilcoxon_W,p_value,effect_r,p_holm,sig_holm_05
EN,TopHat_Optimo,Curvelet,6.5981,6.6645,-0.0664,1.0,3.814697265625e-06,-0.99,0.0002,True
EN,TopHat_Optimo,Multiescala_n8,6.5981,6.5915,0.0067,85.0,0.47490501403808594,0.19,1.0,False
EN,TopHat_Optimo,Optimo_Multiescala,6.5981,6.6627,-0.0645,5.0,1.9073486328125e-05,-0.952,0.0005,True
EN,TopHat_Optimo,PiramideLaplace,6.5981,6.835,-0.2369,21.0,0.000850677490234375,-0.8,0.0145,True
EN,TopHat_Optimo,Promedio,6.5981,6.5178,0.0804,0.0,1.9073486328125e-06,1.0,0.0001,True
EN,TopHat_Optimo,Propuesta_Novedosa,6.5981,6.6125,-0.0144,60.0,0.09730720520019531,-0.429,0.4953,False
EN,TopHat_cross_L3,Curvelet,6.6632,6.6645,-0.0013,89.0,0.8092039689931078,0.063,1.0,False
EN,TopHat_cross_L3,Multiescala_n8,6.6632,6.5915,0.0717,2.0,5.7220458984375e-06,0.981,0.0002,True
EN,TopHat_cross_L3,Optimo_Multiescala,6.6632,6.6627,0.0005,104.0,0.9854354858398438,0.01,1.0,False
EN,TopHat_cross_L3,PiramideLaplace,6.6632,6.835,-0.1718,23.0,0.0037622518256999957,-0.758,0.0564,False
EN,TopHat_cross_L3,Promedio,6.6632,6.5178,0.1454,0.0,0.0001318338889828333,1.0,0.0028,True
EN,TopHat_cross_L3,Propuesta_Novedosa,6.6632,6.6125,0.0507,6.0,2.6702880859375e-05,0.943,0.0006,True
EN,TopHat_cross_L3_BTH,Curvelet,6.9762,6.6645,0.3117,0.0,1.9073486328125e-06,1.0,0.0001,True
EN,TopHat_cross_L3_BTH,Multiescala_n8,6.9762,6.5915,0.3847,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_cross_L3_BTH,Optimo_Multiescala,6.9762,6.6627,0.3135,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_cross_L3_BTH,PiramideLaplace,6.9762,6.835,0.1412,47.0,0.029575347900390625,0.552,0.2366,False
EN,TopHat_cross_L3_BTH,Promedio,6.9762,6.5178,0.4584,0.0,1.9073486328125e-06,1.0,0.0001,True
EN,TopHat_cross_L3_BTH,Propuesta_Novedosa,6.9762,6.6125,0.3637,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_disk_L3,Curvelet,6.6765,6.6645,0.0119,68.0,0.2772406362261136,0.284,1.0,False
EN,TopHat_disk_L3,Multiescala_n8,6.6765,6.5915,0.085,2.0,5.7220458984375e-06,0.981,0.0002,True
EN,TopHat_disk_L3,Optimo_Multiescala,6.6765,6.6627,0.0138,58.0,0.082550048828125,0.448,0.4953,False
EN,TopHat_disk_L3,PiramideLaplace,6.6765,6.835,-0.1586,25.0,0.004848166082515941,-0.737,0.0679,False
EN,TopHat_disk_L3,Promedio,6.6765,6.5178,0.1587,0.0,0.0001318338889828333,1.0,0.0028,True
EN,TopHat_disk_L3,Propuesta_Novedosa,6.6765,6.6125,0.0639,4.0,1.33514404296875e-05,0.962,0.0003,True
EN,TopHat_disk_L3_BTH,Curvelet,6.9721,6.6645,0.3076,0.0,1.9073486328125e-06,1.0,0.0001,True
EN,TopHat_disk_L3_BTH,Multiescala_n8,6.9721,6.5915,0.3806,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_disk_L3_BTH,Optimo_Multiescala,6.9721,6.6627,0.3094,0.0,1.9073486328125e-06,1.0,0.0001,True
EN,TopHat_disk_L3_BTH,PiramideLaplace,6.9721,6.835,0.1371,49.0,0.03623390197753906,0.533,0.2536,False
EN,TopHat_disk_L3_BTH,Promedio,6.9721,6.5178,0.4543,0.0,1.9073486328125e-06,1.0,0.0001,True
EN,TopHat_disk_L3_BTH,Propuesta_Novedosa,6.9721,6.6125,0.3595,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_disk_L5,Curvelet,6.7217,6.6645,0.0572,13.0,0.00096733447244177,0.863,0.0155,True
EN,TopHat_disk_L5,Multiescala_n8,6.7217,6.5915,0.1302,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_disk_L5,Optimo_Multiescala,6.7217,6.6627,0.059,8.0,4.76837158203125e-05,0.924,0.0011,True
EN,TopHat_disk_L5,PiramideLaplace,6.7217,6.835,-0.1133,38.0,0.021801738635254905,-0.6,0.1962,False
EN,TopHat_disk_L5,Promedio,6.7217,6.5178,0.2039,0.0,0.0001318338889828333,1.0,0.0028,True
EN,TopHat_disk_L5,Propuesta_Novedosa,6.7217,6.6125,0.1092,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_disk_L5_BTH,Curvelet,7.1065,6.6645,0.442,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_disk_L5_BTH,Multiescala_n8,7.1065,6.5915,0.515,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_disk_L5_BTH,Optimo_Multiescala,7.1065,6.6627,0.4438,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_disk_L5_BTH,PiramideLaplace,7.1065,6.835,0.2715,9.0,6.29425048828125e-05,0.914,0.0014,True
EN,TopHat_disk_L5_BTH,Promedio,7.1065,6.5178,0.5887,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_disk_L5_BTH,Propuesta_Novedosa,7.1065,6.6125,0.494,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_square_L3,Curvelet,6.6901,6.6645,0.0255,33.0,0.012595170865161685,0.653,0.1329,False
EN,TopHat_square_L3,Multiescala_n8,6.6901,6.5915,0.0986,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_square_L3,Optimo_Multiescala,6.6901,6.6627,0.0274,32.0,0.00485992431640625,0.695,0.0679,False
EN,TopHat_square_L3,PiramideLaplace,6.6901,6.835,-0.145,26.0,0.005491205694554839,-0.726,0.0679,False
EN,TopHat_square_L3,Promedio,6.6901,6.5178,0.1723,0.0,0.0001318338889828333,1.0,0.0028,True
EN,TopHat_square_L3,Propuesta_Novedosa,6.6901,6.6125,0.0775,3.0,9.5367431640625e-06,0.971,0.0003,True
EN,TopHat_square_L3_BTH,Curvelet,6.997,6.6645,0.3324,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_square_L3_BTH,Multiescala_n8,6.997,6.5915,0.4055,1.0,3.814697265625e-06,0.99,0.0002,True
EN,TopHat_square_L3_BTH,Optimo_Multiescala,6.997,6.6627,0.3343,1.0,3.814697265625e-06,0.99,0.0002,True
