metric,tophat,baseline,mean_tophat,mean_baseline,diff,wilcoxon_W,p_value,effect_r,p_holm,sig_holm_05
EN,Propuesta_Novedosa,Curvelet,6.6163,6.6422,-0.0258,27.0,0.00457763671875,-0.716,0.0091552734375,True
EN,Propuesta_Novedosa,DTCWT,6.6163,6.6858,-0.0695,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
EN,Propuesta_Novedosa,DWT,6.6163,6.6797,-0.0634,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
EN,Propuesta_Novedosa,PiramideLaplace,6.6163,6.8216,-0.2053,19.0,0.001171112060546875,-0.8,0.0046844482421875,True
EN,Propuesta_Novedosa,RatioPiramide,6.6163,6.8148,-0.1985,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
EN,TopHat_Clasico,Curvelet,6.9217,6.6422,0.2796,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
EN,TopHat_Clasico,DTCWT,6.9217,6.6858,0.2359,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
EN,TopHat_Clasico,DWT,6.9217,6.6797,0.242,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
EN,TopHat_Clasico,PiramideLaplace,6.9217,6.8216,0.1001,53.0,0.09551239013671875,0.442,0.09551239013671875,False
EN,TopHat_Clasico,RatioPiramide,6.9217,6.8148,0.1069,20.0,0.00141143798828125,0.789,0.0046844482421875,True
EN,Propuesta_Novedosa,TopHat_Clasico,6.6163,6.9217,-0.3054,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SD,Propuesta_Novedosa,Curvelet,0.1126,0.1124,0.0002,81.0,0.5948867797851562,0.147,0.5948867797851562,False
SD,Propuesta_Novedosa,DTCWT,0.1126,0.1165,-0.0038,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SD,Propuesta_Novedosa,DWT,0.1126,0.1158,-0.0032,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SD,Propuesta_Novedosa,PiramideLaplace,0.1126,0.1526,-0.04,1.0,7.62939453125e-06,-0.989,4.1961669921875e-05,True
SD,Propuesta_Novedosa,RatioPiramide,0.1126,0.1269,-0.0142,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SD,TopHat_Clasico,Curvelet,0.135,0.1124,0.0226,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SD,TopHat_Clasico,DTCWT,0.135,0.1165,0.0186,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SD,TopHat_Clasico,DWT,0.135,0.1158,0.0192,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SD,TopHat_Clasico,PiramideLaplace,0.135,0.1526,-0.0176,46.0,0.049365997314453125,-0.516,0.09873199462890625,False
SD,TopHat_Clasico,RatioPiramide,0.135,0.1269,0.0082,24.0,0.002838134765625,0.747,0.008514404296875,True
SD,Propuesta_Novedosa,TopHat_Clasico,0.1126,0.135,-0.0224,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
FE,Propuesta_Novedosa,Curvelet,1.0511,1.0557,-0.0046,26.0,0.003917694091796875,-0.726,0.00783538818359375,True
FE,Propuesta_Novedosa,DTCWT,1.0511,1.0627,-0.0116,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
FE,Propuesta_Novedosa,DWT,1.0511,1.0617,-0.0106,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
FE,Propuesta_Novedosa,PiramideLaplace,1.0511,1.0833,-0.0322,20.0,0.00141143798828125,-0.789,0.00423431396484375,True
FE,Propuesta_Novedosa,RatioPiramide,1.0511,1.0832,-0.0321,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
FE,TopHat_Clasico,Curvelet,1.1007,1.0557,0.045,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
FE,TopHat_Clasico,DTCWT,1.1007,1.0627,0.0379,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
FE,TopHat_Clasico,DWT,1.1007,1.0617,0.039,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
FE,TopHat_Clasico,PiramideLaplace,1.1007,1.0833,0.0173,52.0,0.08742904663085938,0.453,0.08742904663085938,False
FE,TopHat_Clasico,RatioPiramide,1.1007,1.0832,0.0175,17.0,0.000789642333984375,0.821,0.0031585693359375,True
FE,Propuesta_Novedosa,TopHat_Clasico,1.0511,1.1007,-0.0495,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MG,Propuesta_Novedosa,Curvelet,0.0195,0.0262,-0.0068,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MG,Propuesta_Novedosa,DTCWT,0.0195,0.0257,-0.0062,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MG,Propuesta_Novedosa,DWT,0.0195,0.0277,-0.0082,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MG,Propuesta_Novedosa,PiramideLaplace,0.0195,0.0254,-0.0059,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MG,Propuesta_Novedosa,RatioPiramide,0.0195,0.0276,-0.0081,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MG,TopHat_Clasico,Curvelet,0.0483,0.0262,0.022,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MG,TopHat_Clasico,DTCWT,0.0483,0.0257,0.0226,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MG,TopHat_Clasico,DWT,0.0483,0.0277,0.0206,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MG,TopHat_Clasico,PiramideLaplace,0.0483,0.0254,0.0229,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MG,TopHat_Clasico,RatioPiramide,0.0483,0.0276,0.0207,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MG,Propuesta_Novedosa,TopHat_Clasico,0.0195,0.0483,-0.0288,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MI_vis,Propuesta_Novedosa,Curvelet,1.2277,1.1086,0.1191,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MI_vis,Propuesta_Novedosa,DTCWT,1.2277,1.09,0.1377,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MI_vis,Propuesta_Novedosa,DWT,1.2277,1.0884,0.1393,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MI_vis,Propuesta_Novedosa,PiramideLaplace,1.2277,1.9633,-0.7356,16.0,0.000644683837890625,-0.832,0.00128936767578125,True
MI_vis,Propuesta_Novedosa,RatioPiramide,1.2277,0.9648,0.2629,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MI_vis,TopHat_Clasico,Curvelet,0.7914,1.1086,-0.3172,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MI_vis,TopHat_Clasico,DTCWT,0.7914,1.09,-0.2987,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MI_vis,TopHat_Clasico,DWT,0.7914,1.0884,-0.2971,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MI_vis,TopHat_Clasico,PiramideLaplace,0.7914,1.9633,-1.1719,5.0,3.814697265625e-05,-0.947,0.00011444091796875,True
MI_vis,TopHat_Clasico,RatioPiramide,0.7914,0.9648,-0.1735,18.0,0.000965118408203125,-0.811,0.00128936767578125,True
MI_vis,Propuesta_Novedosa,TopHat_Clasico,1.2277,0.7914,0.4363,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MI_ir,Propuesta_Novedosa,Curvelet,0.7715,0.667,0.1045,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MI_ir,Propuesta_Novedosa,DTCWT,0.7715,0.6711,0.1004,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MI_ir,Propuesta_Novedosa,DWT,0.7715,0.6635,0.108,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
MI_ir,Propuesta_Novedosa,PiramideLaplace,0.7715,0.8615,-0.09,53.0,0.09551239013671875,-0.442,0.09873199462890625,False
MI_ir,Propuesta_Novedosa,RatioPiramide,0.7715,0.6606,0.111,46.0,0.049365997314453125,0.516,0.09873199462890625,False
MI_ir,TopHat_Clasico,Curvelet,0.4905,0.667,-0.1765,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MI_ir,TopHat_Clasico,DTCWT,0.4905,0.6711,-0.1807,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MI_ir,TopHat_Clasico,DWT,0.4905,0.6635,-0.173,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
MI_ir,TopHat_Clasico,PiramideLaplace,0.4905,0.8615,-0.371,7.0,7.2479248046875e-05,-0.926,0.0002899169921875,True
MI_ir,TopHat_Clasico,RatioPiramide,0.4905,0.6606,-0.1701,8.0,9.5367431640625e-05,-0.916,0.0002899169921875,True
MI_ir,Propuesta_Novedosa,TopHat_Clasico,0.7715,0.4905,0.281,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SF,Propuesta_Novedosa,Curvelet,9.7923,13.5445,-3.7523,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SF,Propuesta_Novedosa,DTCWT,9.7923,13.4136,-3.6214,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SF,Propuesta_Novedosa,DWT,9.7923,14.3689,-4.5766,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SF,Propuesta_Novedosa,PiramideLaplace,9.7923,13.4277,-3.6354,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SF,Propuesta_Novedosa,RatioPiramide,9.7923,13.741,-3.9487,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SF,TopHat_Clasico,Curvelet,23.476,13.5445,9.9315,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SF,TopHat_Clasico,DTCWT,23.476,13.4136,10.0624,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SF,TopHat_Clasico,DWT,23.476,14.3689,9.1072,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SF,TopHat_Clasico,PiramideLaplace,23.476,13.4277,10.0484,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SF,TopHat_Clasico,RatioPiramide,23.476,13.741,9.735,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SF,Propuesta_Novedosa,TopHat_Clasico,9.7923,23.476,-13.6838,0.0,3.814697265625e-06,-1.0,4.1961669921875e-05,True
SSIM,Propuesta_Novedosa,Curvelet,0.7715,0.7163,0.0552,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SSIM,Propuesta_Novedosa,DTCWT,0.7715,0.7249,0.0466,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
SSIM,Propuesta_Novedosa,DWT,0.7715,0.7014,0.0701,0.0,3.814697265625e-06,1.0,4.1961669921875e-05,True
